name,m,merr,mc,mcerr,p0,p1,pb,pmra,pmdec,gl,gb,dl,pdot_int,tc,p0_birth_lim,p1_birth_lim,tc_b,tmax
J1756$-$2251,1.341,0.007,1.23,0.007,0.0284615890259983,1.017501929557283e-18,0.31963390143,-2.42,0.0,6.499,0.948,0.73,1.0153964544965618e-18,0.44410896275474965,0.010887532684315497,2.6543935549300134e-18,0.06498755452783575,0.37912140822691387
J0737$-$3039A/B,1.3381,0.0007,1.2489,0.0007,0.0226993785996239,1.759928165856237e-18,0.10225156248,0.0,0.0,245.236,-4.505,0.52,1.7605495298002862e-18,0.2042827793860386,0.012510030554153057,3.1945070115803643e-18,0.062046967704114366,0.14223581168192423
B1534+12,1.333,0.0002,1.3455,0.0002,0.0379044411783046,2.422494234938812e-18,0.420737298879,1.482,-25.285,19.848,48.341,1.051,2.3643616274234323e-18,0.2540049810207614,0.01768382783328367,5.067896333068445e-18,0.05528592658977875,0.19871905443098264
J1757$-$1854,1.3384,0.0009,1.3946,0.0009,0.021497231890027,2.6303e-18,0.18353783587,0.0,0.0,9.966,2.877,19.559,2.653843668196526e-18,0.1283433120144275,0.014571815161674658,3.915112297412926e-18,0.058970589267396956,0.06937272274703055
J0509+3801,1.34,0.08,1.46,0.08,0.076541348722003,7.931139832884616e-18,0.37958378535688,0.0,0.0,168.275,-1.187,1.562,7.923556061792849e-18,0.15305305855047116,0.04012982263058854,1.511294164509325e-17,0.04207113920446985,0.11098191934600131
B1913+16,1.4398,0.0002,1.3886,0.0002,0.059030003217813,8.628072663148043e-18,0.322997448911,-0.72,-0.03,49.968,2.122,4.167,8.644918824124725e-18,0.10818770908573903,0.03726763856205731,1.369310226501359e-17,0.04312171853099031,0.06506599055474872
J1913+1102,1.62,0.03,1.27,0.03,0.02728500685251,1.608058653713678e-19,0.20625233,0.0,0.0,45.25,0.194,7.14,1.796002033589363e-19,2.4070398501185735,0.005089146412050136,9.629105517101185e-19,0.0837384729646438,2.3233013771539297
J0453+1559,1.559,0.005,1.174,0.004,0.0457818168729515,1.8612000000000005e-19,4.072468649,-5.5,-6.0,184.125,-17.137,0.522,1.8192495089208645e-19,3.987188745254692,0.006388049302222819,1.3038181755209756e-18,0.07762779774422807,3.909560947510464
J1829+2456,1.306,0.004,1.299,0.004,0.04100982358117,5.25e-20,1.176027941,0.0,0.0,53.343,15.612,0.915,5.501465186072067e-20,11.810698122455838,0.010744338937812424,2.0998417680659995e-19,0.09355102586230979,11.0
B2127+11C,1.358,0.01,1.354,0.01,0.03052929614864,4.987890000000001e-18,0.33528204828,-1.3,-3.3,65.03,-27.315,10.4,4.9853298532452876e-18,0.09702617938398243,0.022189656210750693,6.858989163367141e-18,0.05125739068992778,0.04576878869405465
J1807$-$2500B,1.3655,0.0021,1.2064,0.0021,0.0041861772028408,8.232449999999999e-20,9.9566681588,0.0,0.0,5.83,-2.2,2.8973,1.1000780507735764e-19,0.6029206323834219,0.001847168299932171,2.4930709657928796e-19,0.11739182738612035,0.4855288049973015
J1023+0038,1.71,0.16,0.24,0.0,0.0016879874702211,6.930000000000001e-21,0.1980963569,4.76,-17.34,243.49,45.782,1.368,5.3963210277338065e-21,4.95607052568272,0.0009999999999999998,9.108922280105317e-21,1.739398297603138,3.216672228079582
J1903+0327,1.666,0.012,1.033,0.0,0.0021499123643492,1.88208e-20,95.174118753,-2.06,-5.21,37.336,-1.014,6.122,1.882368276570786e-20,1.8095983831090179,0.0009999999999999998,4.046926832058228e-20,0.39150803966861814,1.4180903434403997
J2043+1711,1.38,0.13,0.173,0.0,0.0023798789238897,5.2437e-21,1.482290786394,-5.722,-10.831,61.919,-15.313,1.562,4.19540682939436e-21,8.987663818273866,0.0010000000000000007,9.984560290418542e-21,1.5868544478837836,7.400809370390082
J1125−6014,1.5,0.2,0.31,0.0,0.0026303807397848,4.01e-21,8.7526036468,11.108,-13.047,292.504,0.894,0.989,2.3292219469430045e-21,17.892613448887182,0.0016325770520554035,3.752803299672385e-21,2.5860477986759,11.0
J0337+1715,1.4359,0.0003,0.1973,0.0,0.00273258863244,1.7666e-20,1.629401788,4.81,-4.42,169.99,-30.039,1.3,1.7350791854729497e-20,2.4952898193166058,0.001,4.741257658606636e-20,0.33417386372692376,2.161115955589682
J0740+6620,2.08,0.07,0.26,0.0,0.00288573641,1.2190424e-20,4.76694,-10.319,-30.867,149.73,29.599,0.929,5.4314106644530456e-21,8.418021985217463,0.0009999999999999998,1.567361951207445e-20,1.0108733273006112,7.407148657916851
J1909-3744,1.486,0.011,0.208,0.0,0.00294710806,1.4025406e-20,1.533449474406,-9.512,-35.782,359.731,-19.596,1.14,2.7002981703360266e-21,17.29220499214189,0.001777756617861846,4.476467938435766e-21,1.990940379660283,11.0
J1614-2230,1.908,0.016,0.493,0.0,0.0031508076554611,9.624189999999999e-21,8.68661942215,3.814,-32.484,352.636,20.192,0.7,3.860202557974908e-21,12.932361472210472,0.0012179435488106458,9.986305016496959e-21,1.302668918536033,11.0
