name pmra pmdec gl gb p0 p1 pb dl m merr mc e
J0348+0432 4.04 3.5 183.337 -36.774 0.039123 2.41e-19 0.102424062722 2.1 2.01 0.04 0.172 2.4e-06
J2222-0137 44.73 -5.68 62.018 -46.075 0.032818 5.8e-21 2.44576456 0.267 1.76 0.06 1.293 0.00038094
J2045+3633 -3.2 -2.68 77.832 -3.926 0.031682 5.88e-19 32.297845 5.629 1.251 0.021 0.873 0.01721244
J0621+1002 3.23 -0.5 200.57 -2.013 0.028854 4.73e-20 8.31868 0.42 1.53 0.2 0.76 0.00245744
J1949+3106 -2.894 -5.093 66.858 2.554 0.013138 9.39e-20 1.949535 7.468 1.34 0.17 0.81 4.306e-05
J1802-2124 -0.85 4.8 8.382 0.611 0.012648 7.26e-20 0.698889243381 0.76 1.24 0.11 0.78 2.48e-06
J2053+4650 -2.8 -5.4 86.861 1.302 0.012586 1.72e-19 2.4524990114 3.81 1.4 0.21 0.86 8.9e-06
J1918-0642 -7.149 -5.972 30.027 -9.123 0.007646 2.57e-20 10.91317757989 1.111 1.29 0.1 0.231 2.0342e-05
J1738+0333 7.066 5.115 27.721 17.742 0.00585 2.41e-20 0.3547907398724 1.471 1.47 0.07 0.181 3.4e-07
J0437-4715 121.439 -71.475 253.394 -41.963 0.005757 5.73e-20 5.7410459 0.157 1.44 0.07 0.224 1.91811e-05
B1855+09 -2.655 -5.408 42.29 3.06 0.005362 1.78e-20 12.32717119157 1.2 1.37 0.13 0.244 2.164e-05
J1012+5307 2.98 -26.94 160.347 50.858 0.005256 1.71e-20 0.604672722901 0.7 1.83 0.11 0.19 1.3e-06
J1713+0747 4.915 -3.914 28.751 25.223 0.00457 8.530000000000001e-21 67.8251299222 1.149 1.35 0.07 0.292 7.49404e-05
J1950+2414 -2.12 -3.64 61.098 -1.169 0.004305 1.88e-20 22.19137127 7.269 1.496 0.023 0.28 0.07981173
J1741+1351 -8.976 -7.415 37.885 21.641 0.003747 3.02e-20 16.3353478283 1.075 1.14 0.33 0.22 9.984e-06
J1600-3053 -0.986 -7.107 344.09 16.451 0.003598 9.500000000000001e-21 14.348466 2.0 2.3 0.7 0.34 0.000173729
J2234+0611 25.3 9.71 72.991 -43.006 0.003577 1.2e-20 32.00140163 0.971 1.353 0.017 0.298 0.129274035
J0751+1807 -2.73 -13.4 202.73 21.086 0.003479 7.790000000000001e-21 0.263144270792 1.11 1.72 0.07 0.16 3.3e-06
J1910-5959A -3.08 -3.97 336.525 -25.73 0.003266 2.95e-21 0.83711347691 4.0 1.33 0.11 0.18 0.0
J1946+3417 -7.01 4.51 69.294 4.713 0.00317 3.1200000000000004e-21 27.01994783 6.941 1.828 0.022 0.2556 0.134495389
J1614-2230 3.814 -32.484 352.636 20.192 0.003151 9.620000000000001e-21 8.68661942215 0.7 1.908 0.016 0.493 1.336e-06
J1909-3744 -9.512 -35.782 359.731 -19.596 0.002947 1.4e-20 1.533449474406 1.14 1.48 0.03 0.208 1.14e-07
J0740+6620 -10.319 -30.867 149.73 29.599 0.002886 1.22e-20 4.76694 0.929 2.14 0.1 0.26 5.07e-06
J0337+1715 4.81 -4.42 169.99 -30.039 0.002733 1.77e-20 1.629401788 1.3 1.4359 0.0003 0.1973 0.00069178
J2043+1711 -5.722 -10.831 61.919 -15.313 0.00238 5.2400000000000006e-21 1.482290786394 1.562 1.38 0.13 0.173 4.87e-06
J1903+0327 -2.06 -5.21 37.336 -1.014 0.00215 1.88e-20 95.174118753 6.122 1.666 0.01 1.033 0.436678409
J1023+0038 4.76 -17.34 243.49 45.782 0.001688 6.930000000000001e-21 0.1980963569 1.368 1.71 0.16 0.24 0.0
J1756-2251 -2.42 0.0 6.499 0.948 0.028462 1.02e-18 0.31963390143 0.73 1.341 0.007 1.23 0.1805694
J0737$-$3039A/B 0.0 0.0 245.236 -4.505 0.0226993785996239 1.759928165856237e-18 0.10225156248 0.52 1.3381 0.0007 1.2489 0.0877775
B1534+12 1.482 -25.285 19.848 48.341 0.037904 2.42e-18 0.420737298879 1.051 1.333 0.0002 1.3455 0.27367752
J1757-1854 0.0 0.0 9.966 2.877 0.021497 2.63e-18 0.18353783587 19.559 1.3384 0.0009 1.3946 0.6058142
J0509+3801 0.0 0.0 168.275 -1.187 0.076541 7.93e-18 0.37958378535688 1.562 1.34 0.08 1.46 0.5864002081
B1913+16 -0.72 -0.03 49.968 2.122 0.05903 8.62e-18 0.322997448911 4.167 1.4398 0.0002 1.3886 0.6171334
J1913+1102 0.0 0.0 45.25 0.194 0.027285 1.61e-19 0.20625233 7.14 1.62 0.03 1.27 0.08954
J0453+1559 -5.5 -6.0 184.125 -17.137 0.045782 1.86e-19 4.072468649 0.522 1.559 0.005 1.174 0.11251844
J1829+2456 0.0 0.0 53.343 15.612 0.04101 5.25e-20 1.176027941 0.915 1.295 0.011 1.31 0.1391412
B2127+11C -1.3 -3.3 65.03 -27.315 0.030529 4.99e-18 0.33528204828 10.4 1.358 0.01 1.354 0.681395
J1807-2500B 0.0 0.0 5.83 -2.2 0.0041861772028408 8.232449999999999e-20 9.9566681588 2.8973 1.3655 0.0021 1.2064 0.747033198
