name,m,merr,mc,p0,p1,pb,e,pmra,pmdec,gl,gb,dl,pdot_int
J1023+0038,1.71,0.16,0.24,0.0016879874702211,6.93e-21,0.1980963569,0.0,4.76,-17.34,243.49,45.782,1.368,5.396321027733807e-21
J1903+0327,1.666,0.012,1.033,0.00214991236434921,1.88208e-20,95.174118753,0.436678409,-2.06,-5.21,37.336,-1.014,6.122,1.882368276570786e-20
J2043+1711,1.38,0.13,0.173,0.00237987892388976,5.2437e-21,1.482290786394,4.87e-06,-5.722,-10.831,61.919,-15.313,1.562,4.19540682939436e-21
J1125−6014,1.5,0.2,0.31,0.0026303807397848,4.01e-21,8.7526036468,6.15e-07,11.108,-13.047,292.504,0.894,0.989,2.3292219469430045e-21
J0337+1715,1.4359,0.0003,0.1973,0.00273258863244,1.7666e-20,1.629401788,0.00069178,4.81,-4.42,169.99,-30.039,1.3,1.7350791854729497e-20
J0740+6620,2.08,0.07,0.26,0.00288573641,1.2190424e-20,4.76694,5.07e-06,-10.319,-30.867,149.73,29.599,0.929,5.431410664453046e-21
J1909-3744,1.486,0.011,0.208,0.00294710806,1.4025406e-20,1.533449474406,1.07e-07,-9.512,-35.782,359.731,-19.596,1.14,2.7002981703360266e-21
J1614-2230,1.908,0.016,0.493,0.00315080765546117,9.62419e-21,8.68661942215,1.336e-06,3.814,-32.484,352.636,20.192,0.7,3.860202557974908e-21
J1946+3417,1.828,0.022,0.2556,0.00317013917885772,3.118e-21,27.01994783,0.134495389,-7.01,4.51,69.294,4.713,6.941,1.1070341730155155e-21
J1910-5959A,1.33,0.11,0.18,0.00326618657079054,2.94703e-21,0.83711347691,3.4e-06,-3.08,-3.97,336.525,-25.73,4.0,5.566275594374206e-21
J0751+1807,1.64,0.15,0.16,0.00347877083927942,7.7874e-21,0.263144270792,3.3e-06,-2.73,-13.4,202.73,21.086,1.11,6.039005102694867e-21
J2234+0611,1.353,0.017,0.298,0.0035765816316731,1.201419e-20,32.00140163,0.129274035,25.3,9.71,72.991,-43.006,0.971,6.373856898946578e-21
J1950+2414,1.496,0.023,0.28,0.0043047754832565,1.8805e-20,22.19137127,0.07981173,-2.12,-3.64,61.098,-1.169,7.269,2.008839242291814e-20
J1713+0747,1.35,0.07,0.292,0.00457013652758179,8.52969e-21,67.8251299222,7.49404e-05,4.915,-3.914,28.751,25.223,1.149,8.144408197659649e-21
J1012+5307,1.72,0.16,0.165,0.0052557490141154,1.712794e-20,0.604672722901,1.3e-06,2.98,-26.94,160.347,50.858,0.7,1.113442091230235e-20
 J1857+0943,1.54,0.13,0.263,0.00536210046612603,1.78395e-20,12.3271713828,2.173e-05,-2.655,-5.408,42.29,3.06,1.2,1.7296989301522442e-20
J0437-4715,1.44,0.07,0.224,0.00575745193,5.7292147e-20,5.7410459,1.91811e-05,121.439,-71.475,253.394,-41.963,0.157,1.4012357150253115e-20
J1738+0333,1.47,0.07,0.181,0.00585009585977568,2.411992e-20,0.3547907398724,3.4e-07,7.066,5.115,27.721,17.742,1.471,2.2437822475469648e-20
J1918-0642,1.29,0.1,0.231,0.00764587276964204,2.569143e-20,10.91317757989,2.0342e-05,-7.149,-5.972,30.027,-9.123,1.111,2.3699159804904865e-20
J1802-2124,1.24,0.11,0.78,0.0126475935865227,7.256e-20,0.698889243381,2.48e-06,-0.85,4.8,8.382,0.611,0.76,7.117967968216778e-20
J1949+3106,1.34,0.17,0.81,0.013138183343704,9.3913e-20,1.949535,4.306e-05,-2.894,-5.093,66.858,2.554,7.468,9.326444356300743e-20
J2045+3633,1.251,0.021,0.873,0.031681843248534,5.883e-19,32.297845,0.01721244,-3.2,-2.68,77.832,-3.926,5.629,5.939111134618805e-19
J2222-0137,1.831,0.01,1.319,0.03281785905,5.8027246e-21,2.44576456,0.00038094,44.73,-5.68,62.018,-46.075,0.267,1.54e-20
J0348+0432,2.01,0.04,0.172,0.0391226569017806,2.4075e-19,0.102424062722,2.4e-06,4.04,3.5,183.337,-36.774,2.1,2.364852562925553e-19
