name,m,merr,mc,mcerr,mt,mterr,p0,p1,pb,e,pmra,pmdec,gl,gb,dl,pdot_int
J1756$-$2251,1.341,0.007,1.23,0.007,2.56999,6e-05,0.0284615890259983,1.017501929557283e-18,0.31963390143,0.1805694,-2.42,0.0,6.499,0.948,0.73,1.0153964544965618e-18
J0737$-$3039A/B,1.3381,0.0007,1.2489,0.0007,2.58708,0.00016,0.0226993785996239,1.759928165856237e-18,0.10225156248,0.0877775,0.0,0.0,245.236,-4.505,0.52,1.7605495298002862e-18
B1534+12,1.333,0.0002,1.3455,0.0002,2.678463,4e-06,0.0379044411783046,2.422494234938812e-18,0.420737298879,0.27367752,1.482,-25.285,19.848,48.341,1.051,2.364361627423432e-18
J1757$-$1854,1.3384,0.0009,1.3946,0.0009,2.73295,9e-05,0.021497231890027,2.6303e-18,0.18353783587,0.6058142,0.0,0.0,9.966,2.877,19.559,2.653843668196526e-18
J0509+3801,1.34,0.08,1.46,0.08,2.805,0.003,0.076541348722003,7.931139832884616e-18,0.37958378535688,0.5864002081,0.0,0.0,168.275,-1.187,1.562,7.92355606179285e-18
B1913+16,1.4398,0.0002,1.3886,0.0002,2.828378,7e-06,0.059030003217813,8.628072663148043e-18,0.322997448911,0.6171334,-0.72,-0.03,49.968,2.122,4.167,8.644918824124725e-18
J1913+1102,1.62,0.03,1.27,0.03,2.8887,0.0006,0.02728500685251,1.608058653713678e-19,0.20625233,0.08954,0.0,0.0,45.25,0.194,7.14,1.7960020335893627e-19
J0453+1559,1.559,0.005,1.174,0.004,2.733,0.004,0.0457818168729515,1.8612000000000003e-19,4.072468649,0.11251844,-5.5,-6.0,184.125,-17.137,0.522,1.8192495089208645e-19
J1829+2456,1.306,0.004,1.299,0.004,2.6055,0.0002,0.04100982358117,5.25e-20,1.176027941,0.1391412,0.0,0.0,53.343,15.612,0.915,5.501465186072067e-20
B2127+11C,1.358,0.01,1.354,0.01,2.71279,0.00013,0.03052929614864,4.9878900000000005e-18,0.33528204828,0.681395,-1.3,-3.3,65.03,-27.315,10.4,4.985329853245287e-18
J1807$-$2500B,1.3655,0.0021,1.2064,0.0021,2.5719,0.00073,0.0041861772028408,8.232449999999999e-20,9.9566681588,0.747033198,0.0,0.0,5.83,-2.2,2.8973,1.1000780507735764e-19
