
0it [00:00, ?it/s]
1it [00:05,  5.57s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-1401.15+/-0.18 dlogz:inf>0.1]
24it [00:05,  5.92it/s, bound:0 nc:  2 ncall:4.5e+02 eff:5.3% logz=-87.61+/-0.16 dlogz:143.006>0.1]
46it [00:05, 13.27it/s, bound:0 nc:  5 ncall:5.0e+02 eff:9.2% logz=-50.77+/-0.16 dlogz:106.249>0.1]
70it [00:05, 23.81it/s, bound:0 nc:  1 ncall:5.4e+02 eff:12.8% logz=-30.68+/-0.15 dlogz:85.772>0.1]
89it [00:05, 34.09it/s, bound:0 nc:  2 ncall:6.0e+02 eff:14.9% logz=-21.10+/-0.15 dlogz:75.845>0.1]
108it [00:06, 46.66it/s, bound:0 nc:  7 ncall:6.4e+02 eff:16.8% logz=-12.82+/-0.15 dlogz:67.541>0.1]
127it [00:06, 61.25it/s, bound:0 nc:  2 ncall:7.0e+02 eff:18.2% logz=-9.50+/-0.13 dlogz:64.099>0.1] 
146it [00:06, 73.73it/s, bound:0 nc:  2 ncall:7.6e+02 eff:19.3% logz=-5.93+/-0.13 dlogz:60.449>0.1]
166it [00:06, 91.72it/s, bound:0 nc:  1 ncall:8.0e+02 eff:20.7% logz=-3.43+/-0.13 dlogz:57.744>0.1]
184it [00:06, 104.73it/s, bound:0 nc:  1 ncall:8.5e+02 eff:21.6% logz=-2.03+/-0.12 dlogz:56.342>0.1]
201it [00:06, 114.76it/s, bound:0 nc:  2 ncall:9.0e+02 eff:22.3% logz=-0.68+/-0.12 dlogz:54.929>0.1]
218it [00:06, 125.83it/s, bound:0 nc:  2 ncall:9.4e+02 eff:23.1% logz=0.59+/-0.12 dlogz:53.596>0.1] 
235it [00:06, 130.13it/s, bound:0 nc:  4 ncall:1.0e+03 eff:23.5% logz=1.77+/-0.12 dlogz:52.383>0.1]
251it [00:07, 135.91it/s, bound:0 nc:  4 ncall:1.0e+03 eff:24.0% logz=2.86+/-0.12 dlogz:51.241>0.1]
271it [00:07, 150.37it/s, bound:0 nc:  5 ncall:1.1e+03 eff:24.8% logz=4.07+/-0.12 dlogz:49.992>0.1]
288it [00:07, 145.89it/s, bound:0 nc: 10 ncall:1.2e+03 eff:25.0% logz=5.05+/-0.12 dlogz:48.953>0.1]
304it [00:07, 136.08it/s, bound:0 nc:  8 ncall:1.2e+03 eff:25.1% logz=5.85+/-0.12 dlogz:48.112>0.1]
319it [00:07, 137.44it/s, bound:0 nc:  5 ncall:1.3e+03 eff:25.3% logz=6.56+/-0.12 dlogz:47.363>0.1]
334it [00:07, 138.78it/s, bound:0 nc:  1 ncall:1.3e+03 eff:25.6% logz=7.21+/-0.12 dlogz:46.668>0.1]
349it [00:07, 131.38it/s, bound:0 nc:  2 ncall:1.4e+03 eff:25.6% logz=7.86+/-0.12 dlogz:45.984>0.1]
363it [00:07, 120.27it/s, bound:0 nc:  1 ncall:1.4e+03 eff:25.5% logz=8.55+/-0.12 dlogz:45.267>0.1]
376it [00:07, 114.40it/s, bound:0 nc:  1 ncall:1.5e+03 eff:25.5% logz=9.21+/-0.12 dlogz:44.577>0.1]
388it [00:08, 94.93it/s, bound:0 nc: 16 ncall:1.6e+03 eff:25.0% logz=9.84+/-0.12 dlogz:43.917>0.1] 
403it [00:08, 104.19it/s, bound:0 nc:  7 ncall:1.6e+03 eff:25.1% logz=10.54+/-0.12 dlogz:43.186>0.1]
415it [00:08, 96.95it/s, bound:0 nc:  8 ncall:1.7e+03 eff:25.1% logz=11.16+/-0.12 dlogz:42.522>0.1] 
426it [00:08, 94.28it/s, bound:0 nc:  2 ncall:1.7e+03 eff:25.2% logz=11.67+/-0.12 dlogz:41.989>0.1]
436it [00:08, 84.56it/s, bound:0 nc:  3 ncall:1.7e+03 eff:25.0% logz=12.09+/-0.12 dlogz:41.540>0.1]
445it [00:08, 75.47it/s, bound:0 nc:  2 ncall:1.8e+03 eff:24.9% logz=12.46+/-0.12 dlogz:41.145>0.1]
453it [00:08, 76.42it/s, bound:0 nc:  9 ncall:1.8e+03 eff:24.8% logz=12.81+/-0.12 dlogz:40.777>0.1]
461it [00:09, 69.56it/s, bound:0 nc:  8 ncall:1.9e+03 eff:24.3% logz=13.14+/-0.12 dlogz:40.432>0.1]
478it [00:09, 91.41it/s, bound:0 nc:  7 ncall:1.9e+03 eff:24.6% logz=13.85+/-0.12 dlogz:39.682>0.1]
488it [00:09, 71.81it/s, bound:0 nc: 16 ncall:2.0e+03 eff:24.2% logz=14.31+/-0.12 dlogz:39.187>0.1]
497it [00:09, 58.09it/s, bound:0 nc:  8 ncall:2.1e+03 eff:23.8% logz=14.70+/-0.12 dlogz:38.779>0.1]
507it [00:09, 63.88it/s, bound:0 nc:  9 ncall:2.1e+03 eff:23.8% logz=15.12+/-0.12 dlogz:38.324>0.1]
515it [00:09, 63.08it/s, bound:0 nc:  6 ncall:2.2e+03 eff:23.6% logz=15.46+/-0.12 dlogz:37.969>0.1]
522it [00:10, 63.65it/s, bound:0 nc:  2 ncall:2.2e+03 eff:23.4% logz=15.73+/-0.12 dlogz:37.675>0.1]
529it [00:10, 62.60it/s, bound:0 nc:  2 ncall:2.3e+03 eff:23.2% logz=15.98+/-0.12 dlogz:37.404>0.1]
536it [00:10, 63.80it/s, bound:0 nc:  2 ncall:2.3e+03 eff:23.2% logz=16.21+/-0.12 dlogz:37.153>0.1]
543it [00:10, 63.29it/s, bound:0 nc: 11 ncall:2.4e+03 eff:23.0% logz=16.44+/-0.12 dlogz:36.912>0.1]
550it [00:10, 51.64it/s, bound:0 nc:  9 ncall:2.4e+03 eff:22.8% logz=16.65+/-0.12 dlogz:36.681>0.1]
556it [00:10, 39.40it/s, bound:0 nc: 22 ncall:2.5e+03 eff:22.3% logz=16.82+/-0.12 dlogz:36.496>0.1]
565it [00:10, 48.75it/s, bound:0 nc:  9 ncall:2.5e+03 eff:22.3% logz=17.07+/-0.12 dlogz:36.224>0.1]
571it [00:11, 49.05it/s, bound:0 nc:  1 ncall:2.6e+03 eff:22.1% logz=17.24+/-0.12 dlogz:36.037>0.1]
584it [00:11, 64.07it/s, bound:0 nc:  9 ncall:2.6e+03 eff:22.1% logz=17.59+/-0.12 dlogz:35.648>0.1]
592it [00:11, 49.59it/s, bound:0 nc: 12 ncall:2.7e+03 eff:21.8% logz=17.81+/-0.12 dlogz:35.409>0.1]
598it [00:11, 49.72it/s, bound:0 nc: 11 ncall:2.8e+03 eff:21.7% logz=17.97+/-0.12 dlogz:35.234>0.1]
604it [00:11, 48.97it/s, bound:0 nc: 15 ncall:2.8e+03 eff:21.6% logz=18.13+/-0.12 dlogz:35.065>0.1]
610it [00:11, 49.60it/s, bound:0 nc:  8 ncall:2.8e+03 eff:21.5% logz=18.28+/-0.12 dlogz:36.335>0.1]
616it [00:11, 49.74it/s, bound:0 nc:  4 ncall:2.9e+03 eff:21.4% logz=18.43+/-0.12 dlogz:36.170>0.1]
624it [00:12, 53.06it/s, bound:0 nc: 11 ncall:2.9e+03 eff:21.2% logz=18.62+/-0.12 dlogz:35.962>0.1]
630it [00:12, 49.96it/s, bound:0 nc: 23 ncall:3.0e+03 eff:21.0% logz=18.76+/-0.12 dlogz:35.809>0.1]
636it [00:12, 47.79it/s, bound:0 nc:  3 ncall:3.0e+03 eff:20.9% logz=18.90+/-0.12 dlogz:35.648>0.1]
642it [00:12, 50.54it/s, bound:0 nc: 11 ncall:3.1e+03 eff:20.9% logz=19.04+/-0.12 dlogz:35.493>0.1]
648it [00:12, 44.47it/s, bound:0 nc:  2 ncall:3.1e+03 eff:20.7% logz=19.17+/-0.12 dlogz:35.346>0.1]
655it [00:12, 50.41it/s, bound:0 nc:  2 ncall:3.2e+03 eff:20.7% logz=19.33+/-0.12 dlogz:35.176>0.1]
661it [00:12, 45.56it/s, bound:0 nc:  8 ncall:3.2e+03 eff:20.5% logz=19.46+/-0.12 dlogz:35.030>0.1]
666it [00:13, 39.61it/s, bound:0 nc: 38 ncall:3.3e+03 eff:20.2% logz=19.56+/-0.12 dlogz:34.909>0.1]
672it [00:13, 43.91it/s, bound:0 nc:  2 ncall:3.3e+03 eff:20.2% logz=19.70+/-0.12 dlogz:34.756>0.1]
678it [00:13, 43.09it/s, bound:0 nc: 22 ncall:3.4e+03 eff:20.0% logz=19.84+/-0.12 dlogz:34.602>0.1]
683it [00:13, 41.26it/s, bound:0 nc:  3 ncall:3.4e+03 eff:19.9% logz=19.96+/-0.12 dlogz:34.474>0.1]
