
0it [00:00, ?it/s]
1it [00:36, 36.45s/it, bound:0 nc:1 ncall:401 eff:0.2% logz=-849.49+/-0.18 dlogz:inf>0.10]
5it [00:36,  5.46s/it, bound:0 nc:8 ncall:420 eff:1.2% logz=-184.83+/-0.18 dlogz:249.391>0.10]
8it [00:36,  2.89s/it, bound:0 nc:3 ncall:441 eff:1.8% logz=-132.11+/-0.18 dlogz:190.573>0.10]
14it [00:36,  1.24s/it, bound:0 nc:3 ncall:458 eff:3.1% logz=-97.15+/-0.18 dlogz:163.252>0.10]
20it [00:37,  1.45it/s, bound:0 nc:2 ncall:473 eff:4.2% logz=-76.02+/-0.16 dlogz:130.324>0.10]
25it [00:37,  2.18it/s, bound:0 nc:4 ncall:490 eff:5.1% logz=-61.68+/-0.18 dlogz:123.358>0.10]
29it [00:37,  2.95it/s, bound:0 nc:6 ncall:509 eff:5.7% logz=-54.37+/-0.17 dlogz:109.321>0.10]
33it [00:37,  3.99it/s, bound:0 nc:2 ncall:526 eff:6.3% logz=-44.85+/-0.18 dlogz:100.972>0.10]
37it [00:37,  5.22it/s, bound:0 nc:3 ncall:545 eff:6.8% logz=-40.53+/-0.16 dlogz:94.685>0.10] 
41it [00:37,  6.89it/s, bound:0 nc:8 ncall:561 eff:7.3% logz=-35.29+/-0.16 dlogz:89.759>0.10]
45it [00:38,  8.92it/s, bound:0 nc:8 ncall:580 eff:7.8% logz=-31.68+/-0.17 dlogz:86.649>0.10]
49it [00:38, 11.20it/s, bound:0 nc:5 ncall:593 eff:8.3% logz=-28.63+/-0.15 dlogz:82.851>0.10]
53it [00:38, 13.76it/s, bound:0 nc:3 ncall:611 eff:8.7% logz=-26.05+/-0.16 dlogz:80.444>0.10]
56it [00:38, 14.04it/s, bound:0 nc:8 ncall:635 eff:8.8% logz=-24.89+/-0.15 dlogz:78.821>0.10]
61it [00:38, 16.63it/s, bound:0 nc:13 ncall:659 eff:9.3% logz=-21.78+/-0.15 dlogz:75.800>0.10]
64it [00:38, 17.74it/s, bound:0 nc:10 ncall:674 eff:9.5% logz=-20.44+/-0.15 dlogz:74.428>0.10]
67it [00:38, 18.59it/s, bound:0 nc:5 ncall:691 eff:9.7% logz=-19.02+/-0.15 dlogz:73.182>0.10] 
70it [00:39, 17.68it/s, bound:0 nc:10 ncall:715 eff:9.8% logz=-17.87+/-0.15 dlogz:71.800>0.10]
76it [00:39, 24.10it/s, bound:0 nc:7 ncall:731 eff:10.4% logz=-16.32+/-0.14 dlogz:70.108>0.10]
79it [00:39, 21.31it/s, bound:0 nc:4 ncall:760 eff:10.4% logz=-15.75+/-0.14 dlogz:69.535>0.10]
82it [00:39, 22.18it/s, bound:0 nc:5 ncall:771 eff:10.6% logz=-15.08+/-0.14 dlogz:68.865>0.10]
85it [00:39, 23.24it/s, bound:0 nc:3 ncall:785 eff:10.8% logz=-14.39+/-0.14 dlogz:68.206>0.10]
90it [00:39, 29.12it/s, bound:0 nc:2 ncall:802 eff:11.2% logz=-13.19+/-0.14 dlogz:67.036>0.10]
94it [00:40, 25.56it/s, bound:0 nc:20 ncall:838 eff:11.2% logz=-12.32+/-0.14 dlogz:66.073>0.10]
100it [00:40, 30.14it/s, bound:0 nc:3 ncall:859 eff:11.6% logz=-10.81+/-0.14 dlogz:64.611>0.10]
104it [00:40, 30.43it/s, bound:0 nc:8 ncall:881 eff:11.8% logz=-10.00+/-0.14 dlogz:63.721>0.10]
113it [00:40, 43.59it/s, bound:0 nc:10 ncall:922 eff:12.3% logz=-7.59+/-0.14 dlogz:61.344>0.10]
118it [00:40, 41.97it/s, bound:0 nc:2 ncall:946 eff:12.5% logz=-6.36+/-0.14 dlogz:60.065>0.10] 
123it [00:40, 36.06it/s, bound:0 nc:7 ncall:982 eff:12.5% logz=-5.30+/-0.14 dlogz:59.026>0.10]
127it [00:40, 30.66it/s, bound:0 nc:2 ncall:1016 eff:12.5% logz=-4.43+/-0.14 dlogz:58.057>0.10]
131it [00:41, 29.88it/s, bound:0 nc:2 ncall:1039 eff:12.6% logz=-3.96+/-0.13 dlogz:57.505>0.10]
135it [00:41, 30.14it/s, bound:0 nc:1 ncall:1051 eff:12.8% logz=-3.64+/-0.13 dlogz:57.149>0.10]
139it [00:41, 30.09it/s, bound:0 nc:3 ncall:1070 eff:13.0% logz=-3.40+/-0.13 dlogz:56.884>0.10]
143it [00:41, 30.13it/s, bound:0 nc:2 ncall:1081 eff:13.2% logz=-3.21+/-0.12 dlogz:56.673>0.10]
147it [00:41, 26.24it/s, bound:0 nc:1 ncall:1107 eff:13.3% logz=-3.05+/-0.12 dlogz:56.497>0.10]
154it [00:41, 32.95it/s, bound:0 nc:8 ncall:1128 eff:13.7% logz=-2.76+/-0.12 dlogz:56.202>0.10]
158it [00:41, 31.96it/s, bound:0 nc:5 ncall:1144 eff:13.8% logz=-2.45+/-0.12 dlogz:55.911>0.10]
162it [00:42, 24.82it/s, bound:0 nc:16 ncall:1173 eff:13.8% logz=-2.11+/-0.12 dlogz:55.588>0.10]
166it [00:42, 26.20it/s, bound:0 nc:8 ncall:1191 eff:13.9% logz=-1.63+/-0.12 dlogz:55.128>0.10] 
169it [00:42, 22.24it/s, bound:0 nc:8 ncall:1211 eff:14.0% logz=-1.27+/-0.12 dlogz:54.741>0.10]
172it [00:42, 17.95it/s, bound:0 nc:7 ncall:1241 eff:13.9% logz=-0.93+/-0.13 dlogz:54.384>0.10]
176it [00:42, 20.79it/s, bound:0 nc:3 ncall:1257 eff:14.0% logz=-0.53+/-0.13 dlogz:53.958>0.10]
179it [00:43, 19.14it/s, bound:0 nc:1 ncall:1281 eff:14.0% logz=-0.23+/-0.12 dlogz:53.658>0.10]
182it [00:43, 20.17it/s, bound:0 nc:8 ncall:1301 eff:14.0% logz=0.05+/-0.12 dlogz:53.369>0.10] 
185it [00:43, 18.48it/s, bound:0 nc:8 ncall:1328 eff:13.9% logz=0.34+/-0.12 dlogz:53.067>0.10]
187it [00:43, 15.33it/s, bound:0 nc:3 ncall:1352 eff:13.8% logz=0.55+/-0.12 dlogz:52.873>0.10]
189it [00:43, 15.39it/s, bound:0 nc:11 ncall:1365 eff:13.8% logz=0.75+/-0.13 dlogz:52.654>0.10]
192it [00:43, 16.93it/s, bound:0 nc:8 ncall:1382 eff:13.9% logz=1.04+/-0.13 dlogz:52.352>0.10] 
194it [00:44, 14.55it/s, bound:0 nc:10 ncall:1406 eff:13.8% logz=1.21+/-0.12 dlogz:52.171>0.10]
