
0it [00:00, ?it/s]
1it [00:01,  1.20s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-18489.07+/-0.18 dlogz:inf>0.1]
62it [00:01, 65.56it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.3% logz=-91.95+/-0.18 dlogz:139.424>0.1]
118it [00:01, 129.12it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.0% logz=-28.10+/-0.15 dlogz:72.205>0.1]
167it [00:01, 183.13it/s, bound:0 nc:  4 ncall:6.1e+02 eff:27.3% logz=-16.35+/-0.14 dlogz:60.049>0.1]
214it [00:01, 231.85it/s, bound:0 nc:  1 ncall:6.8e+02 eff:31.4% logz=-11.30+/-0.12 dlogz:54.705>0.1]
258it [00:01, 269.81it/s, bound:0 nc:  2 ncall:7.6e+02 eff:34.2% logz=-8.64+/-0.12 dlogz:51.928>0.1] 
301it [00:01, 293.15it/s, bound:0 nc:  2 ncall:8.4e+02 eff:35.8% logz=-6.28+/-0.12 dlogz:49.435>0.1]
342it [00:02, 285.16it/s, bound:0 nc:  3 ncall:9.4e+02 eff:36.4% logz=-4.36+/-0.12 dlogz:47.425>0.1]
379it [00:02, 285.11it/s, bound:0 nc:  1 ncall:1.0e+03 eff:36.9% logz=-2.90+/-0.12 dlogz:46.802>0.1]
413it [00:02, 272.61it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.8% logz=-1.67+/-0.12 dlogz:46.214>0.1]
449it [00:02, 287.22it/s, bound:0 nc:  5 ncall:1.2e+03 eff:37.5% logz=-0.51+/-0.11 dlogz:44.954>0.1]
481it [00:02, 289.33it/s, bound:0 nc:  1 ncall:1.3e+03 eff:37.8% logz=0.42+/-0.11 dlogz:43.956>0.1] 
512it [00:02, 281.47it/s, bound:0 nc:  1 ncall:1.4e+03 eff:37.9% logz=1.19+/-0.11 dlogz:43.091>0.1]
542it [00:02, 252.64it/s, bound:0 nc:  8 ncall:1.4e+03 eff:37.5% logz=1.97+/-0.11 dlogz:42.244>0.1]
569it [00:02, 241.59it/s, bound:0 nc:  1 ncall:1.5e+03 eff:37.1% logz=2.57+/-0.11 dlogz:41.574>0.1]
595it [00:03, 231.21it/s, bound:0 nc:  7 ncall:1.6e+03 eff:36.7% logz=3.15+/-0.11 dlogz:40.929>0.1]
619it [00:03, 208.02it/s, bound:0 nc:  2 ncall:1.7e+03 eff:35.9% logz=3.77+/-0.12 dlogz:40.252>0.1]
641it [00:03, 198.35it/s, bound:0 nc:  6 ncall:1.8e+03 eff:35.4% logz=4.28+/-0.12 dlogz:39.682>0.1]
