
0it [00:00, ?it/s]
1it [00:03,  3.74s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-11.16+/-0.18 dlogz:inf>0.1]
23it [00:03,  8.32it/s, bound:0 nc: 25 ncall:5.0e+02 eff:4.6% logz=-1.08+/-0.13 dlogz:40.135>0.1]
35it [00:04, 13.47it/s, bound:0 nc:  6 ncall:6.4e+02 eff:5.5% logz=-0.03+/-0.12 dlogz:39.027>0.1]
45it [00:04, 18.58it/s, bound:0 nc: 22 ncall:7.6e+02 eff:6.0% logz=0.81+/-0.12 dlogz:38.163>0.1] 
54it [00:05, 12.73it/s, bound:2 nc:134 ncall:1.5e+03 eff:3.6% logz=1.55+/-0.12 dlogz:37.394>0.1]
60it [00:06,  9.62it/s, bound:5 nc:132 ncall:2.3e+03 eff:2.6% logz=2.06+/-0.12 dlogz:36.868>0.1]
66it [00:07,  8.34it/s, bound:8 nc:114 ncall:3.1e+03 eff:2.1% logz=2.47+/-0.11 dlogz:36.424>0.1]
74it [00:08,  8.53it/s, bound:12 nc:104 ncall:4.1e+03 eff:1.8% logz=2.96+/-0.11 dlogz:35.914>0.1]
82it [00:09,  8.68it/s, bound:14 nc:118 ncall:4.9e+03 eff:1.7% logz=3.48+/-0.11 dlogz:35.386>0.1]
90it [00:10,  8.94it/s, bound:17 nc:113 ncall:5.8e+03 eff:1.6% logz=3.97+/-0.11 dlogz:34.863>0.1]
98it [00:10,  9.20it/s, bound:20 nc:101 ncall:6.6e+03 eff:1.5% logz=4.41+/-0.11 dlogz:34.397>0.1]
106it [00:11,  9.18it/s, bound:22 nc:109 ncall:7.4e+03 eff:1.4% logz=4.84+/-0.11 dlogz:33.959>0.1]
114it [00:12,  9.35it/s, bound:25 nc:101 ncall:8.3e+03 eff:1.4% logz=5.28+/-0.11 dlogz:33.485>0.1]
122it [00:13,  9.36it/s, bound:28 nc:101 ncall:9.1e+03 eff:1.3% logz=5.71+/-0.11 dlogz:33.041>0.1]
130it [00:14,  9.52it/s, bound:30 nc:101 ncall:9.9e+03 eff:1.3% logz=6.15+/-0.11 dlogz:32.582>0.1]
138it [00:15,  9.35it/s, bound:33 nc:103 ncall:1.1e+04 eff:1.3% logz=6.59+/-0.11 dlogz:32.120>0.1]
146it [00:16,  9.31it/s, bound:36 nc:104 ncall:1.2e+04 eff:1.3% logz=7.04+/-0.11 dlogz:31.652>0.1]
154it [00:16,  9.43it/s, bound:38 nc:103 ncall:1.2e+04 eff:1.2% logz=7.49+/-0.11 dlogz:31.175>0.1]
162it [00:17,  9.31it/s, bound:41 nc:108 ncall:1.3e+04 eff:1.2% logz=7.88+/-0.11 dlogz:30.767>0.1]
170it [00:18,  9.23it/s, bound:44 nc:101 ncall:1.4e+04 eff:1.2% logz=8.26+/-0.11 dlogz:30.546>0.1]
178it [00:19,  8.96it/s, bound:46 nc:119 ncall:1.5e+04 eff:1.2% logz=8.62+/-0.11 dlogz:30.166>0.1]
185it [00:20,  8.55it/s, bound:49 nc:227 ncall:1.6e+04 eff:1.2% logz=8.95+/-0.11 dlogz:29.816>0.1]
193it [00:21,  8.55it/s, bound:52 nc:112 ncall:1.7e+04 eff:1.2% logz=9.34+/-0.11 dlogz:29.411>0.1]
201it [00:22,  8.54it/s, bound:55 nc:118 ncall:1.8e+04 eff:1.1% logz=9.73+/-0.11 dlogz:28.999>0.1]
209it [00:23,  8.12it/s, bound:58 nc:122 ncall:1.9e+04 eff:1.1% logz=10.12+/-0.11 dlogz:28.591>0.1]
217it [00:24,  7.92it/s, bound:62 nc:127 ncall:2.0e+04 eff:1.1% logz=10.51+/-0.11 dlogz:28.180>0.1]
225it [00:25,  7.50it/s, bound:66 nc:142 ncall:2.1e+04 eff:1.1% logz=10.90+/-0.11 dlogz:27.777>0.1]
233it [00:26,  7.42it/s, bound:70 nc:139 ncall:2.2e+04 eff:1.1% logz=11.30+/-0.11 dlogz:27.362>0.1]
241it [00:27,  7.49it/s, bound:74 nc:130 ncall:2.3e+04 eff:1.1% logz=11.72+/-0.11 dlogz:26.910>0.1]
249it [00:29,  7.02it/s, bound:78 nc:155 ncall:2.4e+04 eff:1.0% logz=12.10+/-0.11 dlogz:26.508>0.1]
257it [00:30,  6.73it/s, bound:82 nc:151 ncall:2.5e+04 eff:1.0% logz=12.41+/-0.11 dlogz:26.171>0.1]
265it [00:31,  6.44it/s, bound:86 nc:154 ncall:2.6e+04 eff:1.0% logz=12.72+/-0.11 dlogz:25.842>0.1]
273it [00:33,  6.32it/s, bound:90 nc:145 ncall:2.8e+04 eff:1.0% logz=13.00+/-0.11 dlogz:25.540>0.1]
281it [00:34,  6.05it/s, bound:94 nc:170 ncall:2.9e+04 eff:1.0% logz=13.35+/-0.11 dlogz:25.179>0.1]
289it [00:36,  5.82it/s, bound:98 nc:191 ncall:3.0e+04 eff:1.0% logz=13.72+/-0.11 dlogz:24.790>0.1]
297it [00:37,  5.73it/s, bound:102 nc:170 ncall:3.2e+04 eff:0.9% logz=14.08+/-0.11 dlogz:24.407>0.1]
305it [00:39,  5.72it/s, bound:106 nc:185 ncall:3.3e+04 eff:0.9% logz=14.40+/-0.11 dlogz:24.061>0.1]
313it [00:40,  5.63it/s, bound:110 nc:186 ncall:3.5e+04 eff:0.9% logz=14.74+/-0.11 dlogz:23.708>0.1]
321it [00:42,  5.35it/s, bound:114 nc:194 ncall:3.6e+04 eff:0.9% logz=15.09+/-0.11 dlogz:23.342>0.1]
329it [00:43,  5.16it/s, bound:118 nc:207 ncall:3.8e+04 eff:0.9% logz=15.41+/-0.11 dlogz:22.989>0.1]
337it [00:45,  5.06it/s, bound:122 nc:197 ncall:3.9e+04 eff:0.9% logz=15.71+/-0.11 dlogz:22.674>0.1]
344it [00:47,  4.82it/s, bound:125 nc:193 ncall:4.1e+04 eff:0.8% logz=15.97+/-0.11 dlogz:22.391>0.1]
352it [00:48,  4.77it/s, bound:129 nc:208 ncall:4.2e+04 eff:0.8% logz=16.25+/-0.11 dlogz:22.092>0.1]
360it [00:50,  4.84it/s, bound:133 nc:197 ncall:4.4e+04 eff:0.8% logz=16.52+/-0.11 dlogz:21.805>0.1]
368it [00:52,  4.77it/s, bound:137 nc:212 ncall:4.6e+04 eff:0.8% logz=16.80+/-0.11 dlogz:21.499>0.1]
376it [00:54,  4.53it/s, bound:141 nc:236 ncall:4.7e+04 eff:0.8% logz=17.10+/-0.11 dlogz:21.185>0.1]
384it [00:55,  4.46it/s, bound:145 nc:228 ncall:4.9e+04 eff:0.8% logz=17.37+/-0.11 dlogz:20.887>0.1]
392it [00:57,  4.38it/s, bound:150 nc:230 ncall:5.1e+04 eff:0.8% logz=17.60+/-0.11 dlogz:20.631>0.1]
399it [00:59,  4.16it/s, bound:155 nc:223 ncall:5.3e+04 eff:0.8% logz=17.80+/-0.11 dlogz:20.417>0.1]
407it [01:01,  4.21it/s, bound:159 nc:243 ncall:5.5e+04 eff:0.7% logz=18.02+/-0.11 dlogz:20.179>0.1]
415it [01:03,  4.30it/s, bound:163 nc:216 ncall:5.6e+04 eff:0.7% logz=18.24+/-0.11 dlogz:19.933>0.1]
423it [01:05,  4.27it/s, bound:167 nc:244 ncall:5.8e+04 eff:0.7% logz=18.47+/-0.11 dlogz:19.689>0.1]
431it [01:07,  4.38it/s, bound:171 nc:218 ncall:6.0e+04 eff:0.7% logz=18.70+/-0.11 dlogz:19.442>0.1]
439it [01:08,  4.45it/s, bound:175 nc:184 ncall:6.2e+04 eff:0.7% logz=18.94+/-0.11 dlogz:19.715>0.1]
447it [01:10,  4.44it/s, bound:179 nc:223 ncall:6.3e+04 eff:0.7% logz=19.19+/-0.11 dlogz:19.450>0.1]
455it [01:12,  4.29it/s, bound:183 nc:229 ncall:6.5e+04 eff:0.7% logz=19.41+/-0.11 dlogz:19.206>0.1]
463it [01:14,  4.38it/s, bound:189 nc:231 ncall:6.7e+04 eff:0.7% logz=19.62+/-0.11 dlogz:18.972>0.1]
471it [01:16,  4.39it/s, bound:193 nc:243 ncall:6.9e+04 eff:0.7% logz=19.83+/-0.11 dlogz:18.739>0.1]
479it [01:18,  4.37it/s, bound:199 nc:211 ncall:7.1e+04 eff:0.7% logz=20.04+/-0.11 dlogz:18.512>0.1]
487it [01:19,  4.28it/s, bound:203 nc:266 ncall:7.3e+04 eff:0.7% logz=20.23+/-0.11 dlogz:18.304>0.1]
495it [01:22,  3.84it/s, bound:209 nc:248 ncall:7.4e+04 eff:0.7% logz=20.41+/-0.11 dlogz:18.096>0.1]
503it [01:25,  3.58it/s, bound:217 nc:240 ncall:7.6e+04 eff:0.7% logz=20.61+/-0.11 dlogz:17.884>0.1]
511it [01:27,  3.39it/s, bound:221 nc:223 ncall:7.8e+04 eff:0.7% logz=20.80+/-0.11 dlogz:17.675>0.1]
519it [01:30,  3.32it/s, bound:226 nc:237 ncall:8.0e+04 eff:0.6% logz=21.00+/-0.11 dlogz:17.458>0.1]
527it [01:33,  3.19it/s, bound:230 nc:236 ncall:8.2e+04 eff:0.6% logz=21.20+/-0.11 dlogz:17.236>0.1]
535it [01:35,  3.11it/s, bound:237 nc:240 ncall:8.4e+04 eff:0.6% logz=21.38+/-0.11 dlogz:17.028>0.1]
543it [01:38,  3.08it/s, bound:242 nc:233 ncall:8.6e+04 eff:0.6% logz=21.57+/-0.11 dlogz:16.819>0.1]
551it [01:41,  3.03it/s, bound:247 nc:228 ncall:8.8e+04 eff:0.6% logz=21.76+/-0.11 dlogz:16.615>0.1]
