
0it [00:00, ?it/s]
1it [00:06,  6.63s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-4328.22+/-0.18 dlogz:inf>0.1]
25it [00:06,  5.19it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.9% logz=-2295.55+/-0.18 dlogz:2354.722>0.1]
56it [00:06, 14.02it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.3% logz=-1582.10+/-0.17 dlogz:1631.272>0.1]
84it [00:06, 24.57it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.2% logz=-1297.08+/-0.18 dlogz:1346.565>0.1]
107it [00:07, 35.54it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.4% logz=-1102.36+/-0.18 dlogz:1153.455>0.1]
130it [00:07, 49.05it/s, bound:0 nc:  1 ncall:5.5e+02 eff:23.5% logz=-895.32+/-0.19 dlogz:963.014>0.1]  
152it [00:07, 63.77it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.0% logz=-769.76+/-0.19 dlogz:826.827>0.1]
173it [00:07, 79.20it/s, bound:0 nc:  1 ncall:6.2e+02 eff:27.8% logz=-692.09+/-0.18 dlogz:741.993>0.1]
194it [00:07, 96.84it/s, bound:0 nc:  1 ncall:6.6e+02 eff:29.6% logz=-615.37+/-0.19 dlogz:667.308>0.1]
215it [00:07, 109.24it/s, bound:0 nc:  2 ncall:6.9e+02 eff:31.0% logz=-536.08+/-0.19 dlogz:596.574>0.1]
238it [00:07, 128.67it/s, bound:0 nc:  2 ncall:7.2e+02 eff:33.0% logz=-464.20+/-0.18 dlogz:512.559>0.1]
259it [00:07, 143.61it/s, bound:0 nc:  6 ncall:7.6e+02 eff:34.2% logz=-400.79+/-0.18 dlogz:449.277>0.1]
279it [00:07, 153.21it/s, bound:0 nc:  1 ncall:7.8e+02 eff:35.5% logz=-349.98+/-0.19 dlogz:402.156>0.1]
299it [00:08, 161.03it/s, bound:0 nc:  3 ncall:8.2e+02 eff:36.3% logz=-310.25+/-0.17 dlogz:357.969>0.1]
318it [00:08, 146.49it/s, bound:0 nc:  3 ncall:8.7e+02 eff:36.6% logz=-284.22+/-0.17 dlogz:331.750>0.1]
335it [00:08, 140.47it/s, bound:0 nc:  3 ncall:9.1e+02 eff:36.9% logz=-261.36+/-0.18 dlogz:309.382>0.1]
351it [00:08, 133.96it/s, bound:0 nc:  5 ncall:9.5e+02 eff:37.1% logz=-236.00+/-0.18 dlogz:284.182>0.1]
366it [00:08, 118.45it/s, bound:0 nc:  2 ncall:9.9e+02 eff:36.9% logz=-210.49+/-0.18 dlogz:258.453>0.1]
379it [00:08, 113.48it/s, bound:0 nc:  1 ncall:1.0e+03 eff:36.7% logz=-198.40+/-0.19 dlogz:247.807>0.1]
392it [00:08, 114.95it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.8% logz=-178.17+/-0.17 dlogz:225.457>0.1]
404it [00:09, 115.68it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.8% logz=-164.86+/-0.19 dlogz:214.476>0.1]
416it [00:09, 107.59it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.6% logz=-157.48+/-0.17 dlogz:204.361>0.1]
433it [00:09, 122.60it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.0% logz=-135.86+/-0.17 dlogz:183.300>0.1]
448it [00:09, 128.33it/s, bound:0 nc:  8 ncall:1.2e+03 eff:37.2% logz=-123.52+/-0.17 dlogz:170.918>0.1]
462it [00:09, 107.01it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.6% logz=-113.27+/-0.17 dlogz:160.453>0.1]
474it [00:09, 107.07it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.6% logz=-102.13+/-0.17 dlogz:149.394>0.1]
486it [00:09, 101.47it/s, bound:0 nc:  1 ncall:1.3e+03 eff:36.5% logz=-95.33+/-0.17 dlogz:142.246>0.1] 
497it [00:09, 95.62it/s, bound:0 nc:  1 ncall:1.4e+03 eff:36.3% logz=-88.72+/-0.19 dlogz:136.960>0.1] 
507it [00:10, 92.84it/s, bound:0 nc:  1 ncall:1.4e+03 eff:36.1% logz=-82.31+/-0.17 dlogz:129.267>0.1]
517it [00:10, 92.79it/s, bound:0 nc:  2 ncall:1.4e+03 eff:36.1% logz=-76.41+/-0.17 dlogz:123.281>0.1]
527it [00:10, 92.49it/s, bound:0 nc:  5 ncall:1.5e+03 eff:35.9% logz=-70.36+/-0.17 dlogz:117.123>0.1]
537it [00:10, 86.88it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.7% logz=-65.06+/-0.17 dlogz:111.777>0.1]
549it [00:10, 92.12it/s, bound:0 nc:  7 ncall:1.5e+03 eff:35.6% logz=-60.69+/-0.16 dlogz:107.428>0.1]
559it [00:10, 93.74it/s, bound:0 nc:  8 ncall:1.6e+03 eff:35.6% logz=-56.89+/-0.16 dlogz:103.549>0.1]
569it [00:10, 93.08it/s, bound:0 nc:  6 ncall:1.6e+03 eff:35.5% logz=-52.53+/-0.17 dlogz:99.553>0.1] 
579it [00:10, 81.93it/s, bound:0 nc:  2 ncall:1.6e+03 eff:35.1% logz=-48.66+/-0.17 dlogz:95.299>0.1]
588it [00:11, 76.44it/s, bound:0 nc:  7 ncall:1.7e+03 eff:34.8% logz=-45.30+/-0.16 dlogz:91.805>0.1]
596it [00:11, 77.03it/s, bound:0 nc:  1 ncall:1.7e+03 eff:34.5% logz=-42.75+/-0.17 dlogz:89.414>0.1]
