
0it [00:00, ?it/s]
1it [00:07,  7.76s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-27079.23+/-0.18 dlogz:inf>0.1]
18it [00:07,  3.20it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.2% logz=-18121.57+/-0.18 dlogz:18191.981>0.1]
43it [00:07,  9.37it/s, bound:0 nc:  1 ncall:4.6e+02 eff:9.4% logz=-11877.28+/-0.18 dlogz:11983.179>0.1]
64it [00:08, 16.20it/s, bound:0 nc:  1 ncall:4.9e+02 eff:13.1% logz=-8421.74+/-0.18 dlogz:8410.801>0.1] 
86it [00:08, 25.51it/s, bound:0 nc:  5 ncall:5.2e+02 eff:16.5% logz=-5956.82+/-0.19 dlogz:5935.844>0.1]
106it [00:08, 35.92it/s, bound:0 nc:  2 ncall:5.5e+02 eff:19.1% logz=-4316.66+/-0.19 dlogz:4344.369>0.1]
123it [00:08, 46.10it/s, bound:0 nc:  1 ncall:5.9e+02 eff:21.0% logz=-3350.36+/-0.19 dlogz:3368.233>0.1]
140it [00:08, 56.51it/s, bound:0 nc:  1 ncall:6.2e+02 eff:22.4% logz=-2600.79+/-0.19 dlogz:2619.884>0.1]
155it [00:08, 62.92it/s, bound:0 nc:  2 ncall:6.6e+02 eff:23.5% logz=-2221.40+/-0.19 dlogz:2212.015>0.1]
169it [00:08, 71.58it/s, bound:0 nc:  3 ncall:7.0e+02 eff:24.3% logz=-1917.63+/-0.19 dlogz:1921.446>0.1]
182it [00:08, 78.84it/s, bound:0 nc:  3 ncall:7.2e+02 eff:25.2% logz=-1557.16+/-0.19 dlogz:1546.608>0.1]
202it [00:09, 97.90it/s, bound:0 nc:  2 ncall:7.5e+02 eff:26.8% logz=-1249.94+/-0.19 dlogz:1249.327>0.1]
218it [00:09, 106.68it/s, bound:0 nc:  4 ncall:7.9e+02 eff:27.7% logz=-1018.25+/-0.18 dlogz:991.290>0.1]
232it [00:09, 109.50it/s, bound:0 nc:  1 ncall:8.2e+02 eff:28.2% logz=-891.90+/-0.19 dlogz:875.651>0.1] 
246it [00:09, 112.11it/s, bound:0 nc:  2 ncall:8.5e+02 eff:28.9% logz=-782.79+/-0.19 dlogz:770.717>0.1]
261it [00:09, 116.00it/s, bound:0 nc:  2 ncall:8.8e+02 eff:29.6% logz=-637.15+/-0.18 dlogz:610.445>0.1]
276it [00:09, 118.48it/s, bound:0 nc:  4 ncall:9.1e+02 eff:30.2% logz=-556.69+/-0.19 dlogz:534.213>0.1]
289it [00:09, 107.84it/s, bound:0 nc:  1 ncall:9.6e+02 eff:30.3% logz=-472.55+/-0.19 dlogz:446.865>0.1]
305it [00:09, 115.30it/s, bound:0 nc:  5 ncall:9.9e+02 eff:30.9% logz=-392.04+/-0.19 dlogz:366.252>0.1]
318it [00:10, 107.17it/s, bound:0 nc:  1 ncall:1.0e+03 eff:30.8% logz=-353.39+/-0.17 dlogz:325.604>0.1]
330it [00:10, 98.47it/s, bound:0 nc:  5 ncall:1.1e+03 eff:31.0% logz=-321.42+/-0.18 dlogz:294.242>0.1] 
341it [00:10, 97.17it/s, bound:0 nc:  1 ncall:1.1e+03 eff:31.0% logz=-293.74+/-0.17 dlogz:265.859>0.1]
351it [00:10, 93.35it/s, bound:0 nc:  2 ncall:1.1e+03 eff:31.1% logz=-265.88+/-0.17 dlogz:238.212>0.1]
361it [00:10, 90.48it/s, bound:0 nc:  2 ncall:1.2e+03 eff:31.0% logz=-251.52+/-0.19 dlogz:225.986>0.1]
371it [00:10, 73.86it/s, bound:0 nc:  5 ncall:1.2e+03 eff:30.3% logz=-237.77+/-0.17 dlogz:209.862>0.1]
379it [00:10, 68.23it/s, bound:0 nc:  3 ncall:1.3e+03 eff:30.2% logz=-228.34+/-0.17 dlogz:200.128>0.1]
390it [00:11, 74.52it/s, bound:0 nc:  8 ncall:1.3e+03 eff:30.2% logz=-219.72+/-0.19 dlogz:193.655>0.1]
403it [00:11, 84.19it/s, bound:0 nc:  3 ncall:1.3e+03 eff:30.5% logz=-204.10+/-0.17 dlogz:176.095>0.1]
412it [00:11, 82.42it/s, bound:0 nc:  2 ncall:1.4e+03 eff:30.5% logz=-191.83+/-0.17 dlogz:163.651>0.1]
421it [00:11, 71.02it/s, bound:0 nc:  4 ncall:1.4e+03 eff:30.0% logz=-188.56+/-0.16 dlogz:160.117>0.1]
430it [00:11, 70.67it/s, bound:0 nc:  6 ncall:1.4e+03 eff:30.1% logz=-175.97+/-0.17 dlogz:147.995>0.1]
438it [00:11, 65.71it/s, bound:0 nc:  2 ncall:1.5e+03 eff:29.9% logz=-168.48+/-0.18 dlogz:140.747>0.1]
445it [00:11, 64.06it/s, bound:0 nc:  4 ncall:1.5e+03 eff:29.7% logz=-162.41+/-0.17 dlogz:134.287>0.1]
457it [00:12, 70.01it/s, bound:0 nc: 11 ncall:1.5e+03 eff:29.7% logz=-145.50+/-0.17 dlogz:117.210>0.1]
465it [00:12, 63.27it/s, bound:0 nc:  5 ncall:1.6e+03 eff:29.4% logz=-139.83+/-0.17 dlogz:111.458>0.1]
473it [00:12, 63.56it/s, bound:0 nc:  7 ncall:1.6e+03 eff:29.3% logz=-134.53+/-0.18 dlogz:106.820>0.1]
482it [00:12, 66.91it/s, bound:0 nc:  4 ncall:1.6e+03 eff:29.4% logz=-129.46+/-0.17 dlogz:101.370>0.1]
491it [00:12, 65.07it/s, bound:0 nc: 14 ncall:1.7e+03 eff:29.2% logz=-123.15+/-0.17 dlogz:94.669>0.1] 
499it [00:12, 66.18it/s, bound:0 nc: 11 ncall:1.7e+03 eff:29.1% logz=-118.52+/-0.17 dlogz:90.032>0.1]
507it [00:12, 67.23it/s, bound:0 nc:  3 ncall:1.7e+03 eff:29.0% logz=-115.25+/-0.17 dlogz:86.754>0.1]
514it [00:12, 59.87it/s, bound:0 nc:  3 ncall:1.8e+03 eff:28.8% logz=-113.06+/-0.16 dlogz:84.447>0.1]
523it [00:13, 65.26it/s, bound:0 nc:  2 ncall:1.8e+03 eff:28.8% logz=-109.78+/-0.16 dlogz:81.805>0.1]
530it [00:13, 60.00it/s, bound:0 nc: 10 ncall:1.9e+03 eff:28.5% logz=-107.11+/-0.16 dlogz:79.040>0.1]
537it [00:13, 52.87it/s, bound:0 nc:  7 ncall:1.9e+03 eff:28.1% logz=-105.64+/-0.16 dlogz:77.485>0.1]
543it [00:13, 52.47it/s, bound:0 nc:  1 ncall:1.9e+03 eff:28.0% logz=-104.38+/-0.15 dlogz:76.184>0.1]
549it [00:13, 43.19it/s, bound:0 nc:  4 ncall:2.0e+03 eff:27.5% logz=-103.35+/-0.15 dlogz:75.131>0.1]
557it [00:13, 49.46it/s, bound:0 nc:  5 ncall:2.0e+03 eff:27.5% logz=-101.79+/-0.15 dlogz:73.598>0.1]
563it [00:13, 49.92it/s, bound:0 nc:  2 ncall:2.1e+03 eff:27.4% logz=-99.27+/-0.17 dlogz:71.194>0.1] 
569it [00:14, 50.41it/s, bound:0 nc: 14 ncall:2.1e+03 eff:27.2% logz=-98.00+/-0.16 dlogz:69.761>0.1]
575it [00:14, 42.04it/s, bound:0 nc: 13 ncall:2.2e+03 eff:26.7% logz=-96.83+/-0.16 dlogz:68.549>0.1]
581it [00:14, 42.27it/s, bound:0 nc: 15 ncall:2.2e+03 eff:26.6% logz=-94.63+/-0.17 dlogz:66.631>0.1]
588it [00:14, 43.95it/s, bound:0 nc: 13 ncall:2.2e+03 eff:26.4% logz=-91.97+/-0.17 dlogz:63.853>0.1]
594it [00:14, 45.95it/s, bound:0 nc: 11 ncall:2.3e+03 eff:26.3% logz=-90.33+/-0.16 dlogz:62.028>0.1]
602it [00:14, 52.04it/s, bound:0 nc: 15 ncall:2.3e+03 eff:26.2% logz=-88.82+/-0.16 dlogz:60.505>0.1]
608it [00:14, 45.66it/s, bound:0 nc:  2 ncall:2.3e+03 eff:26.0% logz=-87.22+/-0.16 dlogz:58.930>0.1]
616it [00:15, 50.78it/s, bound:0 nc:  8 ncall:2.4e+03 eff:26.0% logz=-85.72+/-0.16 dlogz:57.355>0.1]
624it [00:15, 55.42it/s, bound:0 nc:  2 ncall:2.4e+03 eff:26.0% logz=-84.71+/-0.15 dlogz:56.261>0.1]
630it [00:15, 49.73it/s, bound:0 nc: 14 ncall:2.4e+03 eff:25.9% logz=-84.00+/-0.15 dlogz:55.547>0.1]
636it [00:15, 35.95it/s, bound:0 nc:  6 ncall:2.5e+03 eff:25.5% logz=-82.70+/-0.16 dlogz:54.325>0.1]
642it [00:15, 39.96it/s, bound:0 nc: 16 ncall:2.5e+03 eff:25.4% logz=-81.59+/-0.16 dlogz:53.138>0.1]
647it [00:15, 36.55it/s, bound:0 nc:  9 ncall:2.6e+03 eff:25.2% logz=-80.85+/-0.15 dlogz:52.358>0.1]
657it [00:16, 45.19it/s, bound:0 nc: 15 ncall:2.6e+03 eff:25.2% logz=-79.56+/-0.15 dlogz:51.041>0.1]
663it [00:16, 41.32it/s, bound:0 nc: 22 ncall:2.7e+03 eff:24.9% logz=-78.56+/-0.15 dlogz:50.099>0.1]
670it [00:16, 45.84it/s, bound:0 nc:  8 ncall:2.7e+03 eff:24.9% logz=-77.52+/-0.15 dlogz:48.958>0.1]
678it [00:16, 50.78it/s, bound:0 nc: 15 ncall:2.7e+03 eff:24.9% logz=-76.57+/-0.15 dlogz:47.986>0.1]
