
0it [00:00, ?it/s]
1it [00:14, 14.35s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-4734.34+/-0.18 dlogz:inf>0.1]
17it [00:14,  1.64it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.1% logz=-1290.52+/-0.18 dlogz:1451.519>0.1]
31it [00:14,  3.54it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.2% logz=-798.33+/-0.18 dlogz:864.026>0.1]  
46it [00:14,  6.35it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.2% logz=-584.77+/-0.18 dlogz:660.971>0.1]
61it [00:14, 10.13it/s, bound:0 nc:  1 ncall:4.6e+02 eff:13.1% logz=-333.88+/-0.18 dlogz:399.807>0.1]
74it [00:14, 14.44it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.4% logz=-216.85+/-0.18 dlogz:275.221>0.1]
86it [00:15, 19.60it/s, bound:0 nc:  1 ncall:5.0e+02 eff:17.3% logz=-158.76+/-0.17 dlogz:214.573>0.1]
100it [00:15, 27.20it/s, bound:0 nc:  1 ncall:5.1e+02 eff:19.5% logz=-88.91+/-0.17 dlogz:144.774>0.1]
112it [00:15, 34.36it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.1% logz=-71.59+/-0.16 dlogz:126.787>0.1]
124it [00:15, 42.52it/s, bound:0 nc:  2 ncall:5.5e+02 eff:22.5% logz=-58.38+/-0.16 dlogz:113.686>0.1]
135it [00:15, 50.14it/s, bound:0 nc:  1 ncall:5.7e+02 eff:23.8% logz=-52.52+/-0.15 dlogz:107.473>0.1]
146it [00:15, 57.77it/s, bound:0 nc:  1 ncall:5.8e+02 eff:25.1% logz=-49.34+/-0.14 dlogz:104.086>0.1]
157it [00:15, 65.04it/s, bound:0 nc:  2 ncall:6.0e+02 eff:26.3% logz=-47.91+/-0.13 dlogz:102.600>0.1]
167it [00:15, 69.83it/s, bound:0 nc:  1 ncall:6.1e+02 eff:27.4% logz=-46.55+/-0.13 dlogz:101.174>0.1]
178it [00:16, 77.80it/s, bound:0 nc:  4 ncall:6.3e+02 eff:28.4% logz=-44.85+/-0.13 dlogz:99.517>0.1] 
188it [00:16, 80.17it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.2% logz=-43.18+/-0.13 dlogz:97.792>0.1]
198it [00:16, 82.30it/s, bound:0 nc:  1 ncall:6.6e+02 eff:30.0% logz=-41.55+/-0.13 dlogz:96.104>0.1]
209it [00:16, 80.52it/s, bound:0 nc:  1 ncall:6.8e+02 eff:30.7% logz=-40.35+/-0.13 dlogz:94.848>0.1]
218it [00:16, 81.24it/s, bound:0 nc:  1 ncall:7.0e+02 eff:31.2% logz=-39.60+/-0.13 dlogz:94.075>0.1]
227it [00:16, 79.50it/s, bound:0 nc:  1 ncall:7.2e+02 eff:31.7% logz=-38.55+/-0.13 dlogz:93.084>0.1]
236it [00:16, 79.14it/s, bound:0 nc:  2 ncall:7.3e+02 eff:32.2% logz=-37.36+/-0.13 dlogz:91.795>0.1]
245it [00:16, 79.67it/s, bound:0 nc:  3 ncall:7.5e+02 eff:32.6% logz=-36.36+/-0.13 dlogz:91.983>0.1]
254it [00:16, 80.49it/s, bound:0 nc:  3 ncall:7.7e+02 eff:33.2% logz=-35.47+/-0.13 dlogz:91.035>0.1]
263it [00:17, 79.37it/s, bound:0 nc:  1 ncall:7.8e+02 eff:33.5% logz=-34.68+/-0.13 dlogz:90.220>0.1]
272it [00:17, 67.70it/s, bound:0 nc:  1 ncall:8.0e+02 eff:34.0% logz=-33.95+/-0.13 dlogz:89.450>0.1]
280it [00:17, 67.54it/s, bound:0 nc:  1 ncall:8.2e+02 eff:34.3% logz=-33.20+/-0.13 dlogz:88.704>0.1]
289it [00:17, 71.21it/s, bound:0 nc:  6 ncall:8.4e+02 eff:34.6% logz=-32.45+/-0.13 dlogz:87.914>0.1]
297it [00:17, 70.93it/s, bound:0 nc:  2 ncall:8.5e+02 eff:35.0% logz=-31.79+/-0.13 dlogz:87.245>0.1]
305it [00:17, 71.64it/s, bound:0 nc:  2 ncall:8.7e+02 eff:35.0% logz=-31.14+/-0.13 dlogz:86.566>0.1]
313it [00:17, 69.93it/s, bound:0 nc:  2 ncall:8.8e+02 eff:35.4% logz=-30.47+/-0.13 dlogz:85.881>0.1]
321it [00:17, 68.58it/s, bound:0 nc:  3 ncall:9.0e+02 eff:35.5% logz=-29.87+/-0.13 dlogz:85.250>0.1]
328it [00:18, 65.19it/s, bound:0 nc:  1 ncall:9.2e+02 eff:35.8% logz=-29.36+/-0.13 dlogz:84.720>0.1]
335it [00:18, 56.40it/s, bound:0 nc:  1 ncall:9.4e+02 eff:35.8% logz=-28.86+/-0.13 dlogz:84.210>0.1]
345it [00:18, 63.65it/s, bound:0 nc:  3 ncall:9.5e+02 eff:36.2% logz=-28.18+/-0.13 dlogz:83.488>0.1]
353it [00:18, 66.17it/s, bound:0 nc:  1 ncall:9.7e+02 eff:36.4% logz=-27.76+/-0.12 dlogz:83.040>0.1]
360it [00:18, 56.46it/s, bound:0 nc:  1 ncall:9.9e+02 eff:36.3% logz=-27.43+/-0.12 dlogz:82.690>0.1]
