
0it [00:00, ?it/s]
1it [01:27, 87.10s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-481.47+/-0.18 dlogz:inf>0.1]
2it [01:27, 35.93s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.5% logz=-475.80+/-0.18 dlogz:540.265>0.1]
4it [01:27, 13.51s/it, bound:0 nc: 29 ncall:4.4e+02 eff:0.9% logz=-332.19+/-0.18 dlogz:401.732>0.1]
5it [01:27,  9.38s/it, bound:0 nc: 21 ncall:4.6e+02 eff:1.1% logz=-306.68+/-0.18 dlogz:390.985>0.1]
7it [01:27,  5.02s/it, bound:0 nc:  8 ncall:4.8e+02 eff:1.5% logz=-277.06+/-0.18 dlogz:346.818>0.1]
10it [01:28,  2.55s/it, bound:0 nc: 17 ncall:5.0e+02 eff:2.0% logz=-201.03+/-0.18 dlogz:273.962>0.1]
11it [01:28,  2.08s/it, bound:0 nc: 11 ncall:5.2e+02 eff:2.1% logz=-196.67+/-0.18 dlogz:259.806>0.1]
13it [01:28,  1.36s/it, bound:0 nc:  2 ncall:5.2e+02 eff:2.5% logz=-176.94+/-0.18 dlogz:244.687>0.1]
15it [01:28,  1.06it/s, bound:0 nc: 13 ncall:5.4e+02 eff:2.8% logz=-172.46+/-0.17 dlogz:233.540>0.1]
17it [01:28,  1.50it/s, bound:0 nc:  8 ncall:5.6e+02 eff:3.1% logz=-161.21+/-0.18 dlogz:226.765>0.1]
20it [01:28,  2.39it/s, bound:0 nc: 10 ncall:5.7e+02 eff:3.5% logz=-155.74+/-0.18 dlogz:217.442>0.1]
22it [01:29,  3.06it/s, bound:0 nc:  5 ncall:5.8e+02 eff:3.8% logz=-144.49+/-0.18 dlogz:213.232>0.1]
24it [01:29,  3.53it/s, bound:0 nc: 21 ncall:6.2e+02 eff:3.9% logz=-131.48+/-0.18 dlogz:196.328>0.1]
26it [01:29,  4.21it/s, bound:0 nc: 12 ncall:6.5e+02 eff:4.0% logz=-126.69+/-0.17 dlogz:187.240>0.1]
29it [01:29,  5.98it/s, bound:0 nc:  8 ncall:6.7e+02 eff:4.4% logz=-120.45+/-0.17 dlogz:180.933>0.1]
32it [01:30,  7.94it/s, bound:0 nc: 10 ncall:6.8e+02 eff:4.7% logz=-110.31+/-0.18 dlogz:176.128>0.1]
34it [01:30,  6.83it/s, bound:0 nc:  1 ncall:7.2e+02 eff:4.7% logz=-105.82+/-0.18 dlogz:167.014>0.1]
37it [01:30,  9.31it/s, bound:0 nc:  3 ncall:7.3e+02 eff:5.1% logz=-95.50+/-0.17 dlogz:156.324>0.1] 
41it [01:30, 10.43it/s, bound:0 nc: 24 ncall:7.6e+02 eff:5.4% logz=-91.19+/-0.17 dlogz:151.408>0.1]
43it [01:31, 10.70it/s, bound:0 nc: 11 ncall:7.8e+02 eff:5.5% logz=-86.59+/-0.17 dlogz:146.986>0.1]
45it [01:31,  8.36it/s, bound:0 nc: 29 ncall:8.1e+02 eff:5.6% logz=-84.53+/-0.16 dlogz:144.188>0.1]
48it [01:42,  1.38s/it, bound:1 nc:103 ncall:9.2e+02 eff:5.2% logz=-81.75+/-0.16 dlogz:140.906>0.1]
50it [01:43,  1.06s/it, bound:2 nc:175 ncall:1.3e+03 eff:3.8% logz=-80.51+/-0.16 dlogz:140.041>0.1]
54it [01:43,  1.57it/s, bound:4 nc:143 ncall:1.9e+03 eff:2.8% logz=-72.12+/-0.16 dlogz:131.627>0.1]
56it [01:56,  2.00s/it, bound:5 nc:101 ncall:2.1e+03 eff:2.6% logz=-71.14+/-0.15 dlogz:130.220>0.1]
59it [01:56,  1.35s/it, bound:6 nc:156 ncall:2.6e+03 eff:2.3% logz=-69.72+/-0.15 dlogz:128.765>0.1]
63it [01:56,  1.18it/s, bound:8 nc:145 ncall:3.2e+03 eff:2.0% logz=-68.17+/-0.15 dlogz:127.258>0.1]
66it [02:08,  1.79s/it, bound:9 nc:135 ncall:3.7e+03 eff:1.8% logz=-66.40+/-0.16 dlogz:125.933>0.1]
69it [02:09,  1.27s/it, bound:11 nc:106 ncall:4.1e+03 eff:1.7% logz=-62.65+/-0.16 dlogz:121.757>0.1]
72it [02:19,  1.90s/it, bound:12 nc:107 ncall:4.6e+03 eff:1.6% logz=-61.09+/-0.15 dlogz:120.225>0.1]
77it [02:19,  1.13s/it, bound:14 nc:172 ncall:5.4e+03 eff:1.4% logz=-55.33+/-0.18 dlogz:116.323>0.1]
80it [02:28,  1.60s/it, bound:15 nc:116 ncall:5.7e+03 eff:1.4% logz=-53.18+/-0.16 dlogz:112.215>0.1]
82it [02:28,  1.30s/it, bound:16 nc:101 ncall:5.9e+03 eff:1.4% logz=-52.39+/-0.15 dlogz:111.433>0.1]
87it [02:34,  1.30s/it, bound:17 nc:101 ncall:6.4e+03 eff:1.4% logz=-48.27+/-0.16 dlogz:107.560>0.1]
91it [02:34,  1.12it/s, bound:19 nc:110 ncall:6.8e+03 eff:1.3% logz=-45.79+/-0.15 dlogz:104.967>0.1]
95it [02:43,  1.29s/it, bound:20 nc:101 ncall:7.2e+03 eff:1.3% logz=-43.64+/-0.15 dlogz:102.767>0.1]
100it [02:43,  1.19it/s, bound:22 nc:137 ncall:7.8e+03 eff:1.3% logz=-40.72+/-0.15 dlogz:99.759>0.1]
103it [02:50,  1.16s/it, bound:23 nc:101 ncall:8.1e+03 eff:1.3% logz=-39.23+/-0.15 dlogz:98.264>0.1]
106it [02:50,  1.14it/s, bound:24 nc:101 ncall:8.4e+03 eff:1.3% logz=-37.35+/-0.15 dlogz:96.330>0.1]
111it [02:58,  1.17s/it, bound:25 nc:101 ncall:8.9e+03 eff:1.2% logz=-35.14+/-0.15 dlogz:94.044>0.1]
113it [02:58,  1.03it/s, bound:26 nc:130 ncall:9.2e+03 eff:1.2% logz=-34.24+/-0.15 dlogz:93.244>0.1]
118it [02:59,  1.65it/s, bound:28 nc:138 ncall:9.7e+03 eff:1.2% logz=-31.84+/-0.15 dlogz:90.896>0.1]
121it [03:06,  1.06s/it, bound:29 nc:101 ncall:1.0e+04 eff:1.2% logz=-30.37+/-0.15 dlogz:89.315>0.1]
127it [03:12,  1.08s/it, bound:31 nc:101 ncall:1.1e+04 eff:1.2% logz=-27.65+/-0.15 dlogz:86.807>0.1]
130it [03:13,  1.19it/s, bound:32 nc:101 ncall:1.1e+04 eff:1.2% logz=-26.40+/-0.15 dlogz:85.198>0.1]
133it [03:13,  1.55it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.2% logz=-25.34+/-0.15 dlogz:84.134>0.1]
135it [03:21,  1.31s/it, bound:33 nc:102 ncall:1.1e+04 eff:1.2% logz=-24.46+/-0.15 dlogz:83.419>0.1]
137it [03:21,  1.05s/it, bound:34 nc:101 ncall:1.2e+04 eff:1.2% logz=-23.43+/-0.15 dlogz:82.411>0.1]
141it [03:21,  1.51it/s, bound:35 nc:  1 ncall:1.2e+04 eff:1.2% logz=-21.29+/-0.15 dlogz:79.731>0.1]
144it [03:30,  1.30s/it, bound:36 nc:101 ncall:1.2e+04 eff:1.2% logz=-20.60+/-0.15 dlogz:79.327>0.1]
146it [03:30,  1.04s/it, bound:37 nc:101 ncall:1.3e+04 eff:1.2% logz=-19.69+/-0.15 dlogz:78.588>0.1]
148it [03:30,  1.24it/s, bound:38 nc:101 ncall:1.3e+04 eff:1.2% logz=-18.24+/-0.16 dlogz:77.361>0.1]
151it [03:40,  1.69s/it, bound:39 nc:101 ncall:1.3e+04 eff:1.2% logz=-16.73+/-0.15 dlogz:75.651>0.1]
157it [03:41,  1.14it/s, bound:41 nc:127 ncall:1.4e+04 eff:1.1% logz=-13.16+/-0.15 dlogz:71.976>0.1]
160it [03:50,  1.45s/it, bound:42 nc:101 ncall:1.4e+04 eff:1.1% logz=-12.07+/-0.15 dlogz:70.883>0.1]
163it [03:50,  1.07s/it, bound:43 nc:101 ncall:1.4e+04 eff:1.1% logz=-10.95+/-0.15 dlogz:69.723>0.1]
167it [03:59,  1.45s/it, bound:44 nc:101 ncall:1.5e+04 eff:1.1% logz=-9.35+/-0.15 dlogz:68.096>0.1] 
172it [03:59,  1.09it/s, bound:46 nc:101 ncall:1.5e+04 eff:1.1% logz=-7.80+/-0.15 dlogz:66.437>0.1]
175it [04:09,  1.48s/it, bound:47 nc:112 ncall:1.6e+04 eff:1.1% logz=-7.15+/-0.14 dlogz:65.721>0.1]
181it [04:09,  1.14it/s, bound:49 nc:120 ncall:1.6e+04 eff:1.1% logz=-5.11+/-0.15 dlogz:63.739>0.1]
184it [04:18,  1.37s/it, bound:50 nc:117 ncall:1.7e+04 eff:1.1% logz=-4.51+/-0.14 dlogz:63.033>0.1]
191it [04:27,  1.35s/it, bound:52 nc:101 ncall:1.7e+04 eff:1.1% logz=-3.45+/-0.14 dlogz:61.967>0.1]
199it [04:36,  1.24s/it, bound:55 nc:101 ncall:1.8e+04 eff:1.1% logz=-0.82+/-0.15 dlogz:59.528>0.1]
207it [04:44,  1.18s/it, bound:57 nc:101 ncall:1.9e+04 eff:1.1% logz=1.37+/-0.14 dlogz:57.118>0.1] 
215it [04:52,  1.12s/it, bound:60 nc:101 ncall:2.0e+04 eff:1.1% logz=2.49+/-0.14 dlogz:55.890>0.1]
