
0it [00:00, ?it/s]
1it [00:11, 11.16s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-768.64+/-0.18 dlogz:inf>0.1]
17it [00:11,  2.11it/s, bound:0 nc:  1 ncall:4.3e+02 eff:3.9% logz=-91.86+/-0.17 dlogz:139.795>0.1]
38it [00:11,  5.77it/s, bound:0 nc:  1 ncall:4.7e+02 eff:8.0% logz=-47.40+/-0.17 dlogz:95.667>0.1] 
58it [00:11, 10.52it/s, bound:0 nc:  3 ncall:5.1e+02 eff:11.3% logz=-30.34+/-0.15 dlogz:77.364>0.1]
76it [00:11, 16.13it/s, bound:0 nc:  2 ncall:5.5e+02 eff:13.7% logz=-24.15+/-0.14 dlogz:70.996>0.1]
93it [00:11, 22.91it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.6% logz=-19.62+/-0.14 dlogz:66.447>0.1]
109it [00:11, 30.56it/s, bound:0 nc:  5 ncall:6.4e+02 eff:17.0% logz=-17.08+/-0.13 dlogz:63.642>0.1]
124it [00:12, 39.18it/s, bound:0 nc:  1 ncall:6.8e+02 eff:18.1% logz=-14.98+/-0.13 dlogz:61.595>0.1]
138it [00:12, 46.46it/s, bound:0 nc:  9 ncall:7.4e+02 eff:18.7% logz=-12.71+/-0.13 dlogz:59.199>0.1]
150it [00:12, 53.53it/s, bound:0 nc:  2 ncall:7.8e+02 eff:19.3% logz=-11.43+/-0.13 dlogz:57.870>0.1]
162it [00:12, 61.66it/s, bound:0 nc:  7 ncall:8.2e+02 eff:19.7% logz=-10.30+/-0.12 dlogz:56.687>0.1]
173it [00:12, 67.06it/s, bound:0 nc:  1 ncall:8.6e+02 eff:20.2% logz=-9.50+/-0.12 dlogz:55.830>0.1] 
184it [00:12, 74.96it/s, bound:0 nc:  2 ncall:8.9e+02 eff:20.7% logz=-8.66+/-0.12 dlogz:54.981>0.1]
198it [00:12, 82.03it/s, bound:0 nc: 12 ncall:9.4e+02 eff:21.1% logz=-7.75+/-0.12 dlogz:54.027>0.1]
213it [00:12, 93.10it/s, bound:0 nc:  2 ncall:9.8e+02 eff:21.8% logz=-6.90+/-0.12 dlogz:53.123>0.1]
225it [00:12, 98.82it/s, bound:0 nc:  1 ncall:1.0e+03 eff:22.2% logz=-6.38+/-0.11 dlogz:52.573>0.1]
239it [00:13, 98.02it/s, bound:0 nc: 13 ncall:1.1e+03 eff:22.6% logz=-5.75+/-0.11 dlogz:51.905>0.1]
250it [00:13, 86.75it/s, bound:0 nc:  3 ncall:1.1e+03 eff:22.5% logz=-5.25+/-0.11 dlogz:51.378>0.1]
262it [00:13, 91.34it/s, bound:0 nc:  3 ncall:1.2e+03 eff:22.7% logz=-4.69+/-0.11 dlogz:50.783>0.1]
272it [00:13, 89.76it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.7% logz=-4.24+/-0.11 dlogz:50.310>0.1]
285it [00:13, 90.05it/s, bound:0 nc: 10 ncall:1.2e+03 eff:23.0% logz=-3.73+/-0.11 dlogz:49.767>0.1]
298it [00:13, 96.39it/s, bound:0 nc:  1 ncall:1.3e+03 eff:23.3% logz=-3.29+/-0.11 dlogz:49.287>0.1]
308it [00:13, 82.11it/s, bound:0 nc:  3 ncall:1.3e+03 eff:23.0% logz=-2.89+/-0.11 dlogz:48.867>0.1]
318it [00:14, 83.28it/s, bound:0 nc: 12 ncall:1.4e+03 eff:23.0% logz=-2.42+/-0.11 dlogz:48.378>0.1]
327it [00:14, 65.07it/s, bound:0 nc:  5 ncall:1.5e+03 eff:22.5% logz=-2.06+/-0.11 dlogz:47.988>0.1]
335it [00:14, 61.94it/s, bound:0 nc:  9 ncall:1.5e+03 eff:22.4% logz=-1.77+/-0.11 dlogz:47.678>0.1]
343it [00:14, 62.30it/s, bound:0 nc:  1 ncall:1.5e+03 eff:22.4% logz=-1.50+/-0.11 dlogz:47.380>0.1]
353it [00:14, 64.11it/s, bound:0 nc: 10 ncall:1.6e+03 eff:22.4% logz=-1.19+/-0.11 dlogz:47.048>0.1]
363it [00:14, 65.13it/s, bound:0 nc: 15 ncall:1.6e+03 eff:22.3% logz=-0.92+/-0.11 dlogz:46.747>0.1]
370it [00:14, 63.42it/s, bound:0 nc:  1 ncall:1.7e+03 eff:22.2% logz=-0.74+/-0.11 dlogz:46.545>0.1]
384it [00:15, 78.62it/s, bound:0 nc:  7 ncall:1.7e+03 eff:22.5% logz=-0.37+/-0.11 dlogz:46.145>0.1]
399it [00:15, 92.74it/s, bound:0 nc:  7 ncall:1.7e+03 eff:22.9% logz=0.04+/-0.11 dlogz:45.699>0.1] 
409it [00:15, 86.37it/s, bound:0 nc:  3 ncall:1.8e+03 eff:22.8% logz=0.29+/-0.11 dlogz:45.418>0.1]
420it [00:15, 83.46it/s, bound:0 nc: 10 ncall:1.8e+03 eff:22.8% logz=0.56+/-0.11 dlogz:45.124>0.1]
429it [00:15, 79.32it/s, bound:0 nc:  4 ncall:1.9e+03 eff:22.7% logz=0.76+/-0.11 dlogz:44.900>0.1]
438it [00:15, 67.40it/s, bound:0 nc:  2 ncall:1.9e+03 eff:22.5% logz=0.96+/-0.11 dlogz:44.679>0.1]
446it [00:16, 54.47it/s, bound:0 nc: 10 ncall:2.0e+03 eff:22.0% logz=1.15+/-0.11 dlogz:44.469>0.1]
454it [00:16, 58.02it/s, bound:0 nc:  3 ncall:2.1e+03 eff:22.0% logz=1.34+/-0.11 dlogz:44.259>0.1]
461it [00:16, 58.00it/s, bound:0 nc:  1 ncall:2.1e+03 eff:21.9% logz=1.53+/-0.11 dlogz:44.055>0.1]
469it [00:16, 58.09it/s, bound:0 nc: 10 ncall:2.2e+03 eff:21.8% logz=1.73+/-0.11 dlogz:45.331>0.1]
476it [00:16, 51.71it/s, bound:0 nc:  5 ncall:2.2e+03 eff:21.5% logz=1.90+/-0.11 dlogz:45.142>0.1]
482it [00:16, 53.45it/s, bound:0 nc:  1 ncall:2.2e+03 eff:21.5% logz=2.05+/-0.11 dlogz:44.980>0.1]
488it [00:16, 47.31it/s, bound:0 nc:  9 ncall:2.3e+03 eff:21.2% logz=2.19+/-0.11 dlogz:44.826>0.1]
496it [00:16, 52.10it/s, bound:0 nc:  5 ncall:2.3e+03 eff:21.2% logz=2.38+/-0.11 dlogz:44.616>0.1]
502it [00:17, 51.44it/s, bound:0 nc:  2 ncall:2.4e+03 eff:21.1% logz=2.52+/-0.11 dlogz:44.458>0.1]
512it [00:17, 55.74it/s, bound:0 nc: 21 ncall:2.4e+03 eff:21.1% logz=2.76+/-0.11 dlogz:44.193>0.1]
518it [00:17, 46.70it/s, bound:0 nc: 15 ncall:2.5e+03 eff:20.8% logz=2.91+/-0.11 dlogz:44.034>0.1]
523it [00:17, 45.71it/s, bound:0 nc:  6 ncall:2.5e+03 eff:20.6% logz=3.02+/-0.11 dlogz:43.905>0.1]
