
0it [00:00, ?it/s]
1it [00:01,  1.08s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8779.31+/-0.18 dlogz:inf>0.1]
79it [00:01, 91.46it/s, bound:0 nc:  3 ncall:4.9e+02 eff:16.2% logz=-38.17+/-0.16 dlogz:81.094>0.1]
173it [00:01, 212.17it/s, bound:0 nc:  2 ncall:6.3e+02 eff:27.6% logz=-9.24+/-0.12 dlogz:51.229>0.1]
271it [00:01, 340.13it/s, bound:0 nc:  2 ncall:7.9e+02 eff:34.1% logz=-4.37+/-0.11 dlogz:46.092>0.1]
351it [00:01, 425.99it/s, bound:0 nc:  3 ncall:9.5e+02 eff:36.8% logz=-1.36+/-0.11 dlogz:42.882>0.1]
429it [00:01, 455.95it/s, bound:0 nc:  8 ncall:1.2e+03 eff:36.9% logz=0.94+/-0.11 dlogz:40.380>0.1] 
499it [00:01, 429.14it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.3% logz=2.70+/-0.11 dlogz:38.431>0.1]
558it [00:01, 415.55it/s, bound:0 nc:  2 ncall:1.6e+03 eff:34.0% logz=4.10+/-0.11 dlogz:36.887>0.1]
611it [00:02, 393.38it/s, bound:0 nc:  1 ncall:1.9e+03 eff:32.2% logz=5.36+/-0.12 dlogz:35.959>0.1]
658it [00:02, 356.10it/s, bound:0 nc:  9 ncall:2.1e+03 eff:30.9% logz=6.68+/-0.12 dlogz:34.676>0.1]
699it [00:02, 301.28it/s, bound:0 nc: 19 ncall:2.4e+03 eff:29.5% logz=7.86+/-0.12 dlogz:33.394>0.1]
734it [00:02, 263.26it/s, bound:0 nc:  2 ncall:2.6e+03 eff:28.1% logz=9.07+/-0.13 dlogz:32.104>0.1]
764it [00:02, 235.35it/s, bound:0 nc:  1 ncall:2.9e+03 eff:26.7% logz=10.16+/-0.13 dlogz:30.937>0.1]
790it [00:03, 222.42it/s, bound:0 nc:  1 ncall:3.1e+03 eff:25.7% logz=10.99+/-0.13 dlogz:30.034>0.1]
815it [00:03, 225.95it/s, bound:0 nc:  5 ncall:3.2e+03 eff:25.2% logz=11.82+/-0.13 dlogz:29.152>0.1]
839it [00:03, 198.56it/s, bound:0 nc:  4 ncall:3.5e+03 eff:24.0% logz=12.65+/-0.13 dlogz:28.254>0.1]
860it [00:03, 196.03it/s, bound:0 nc:  7 ncall:3.7e+03 eff:23.3% logz=13.35+/-0.14 dlogz:27.510>0.1]
881it [00:03, 192.79it/s, bound:0 nc:  9 ncall:3.9e+03 eff:22.7% logz=14.00+/-0.14 dlogz:26.798>0.1]
901it [00:03, 182.64it/s, bound:0 nc:  6 ncall:4.1e+03 eff:22.0% logz=14.59+/-0.14 dlogz:26.160>0.1]
920it [00:03, 181.59it/s, bound:0 nc:  2 ncall:4.3e+03 eff:21.5% logz=15.09+/-0.14 dlogz:25.607>0.1]
939it [00:03, 166.17it/s, bound:0 nc:  6 ncall:4.5e+03 eff:21.0% logz=15.56+/-0.14 dlogz:25.088>0.1]
956it [00:04, 131.79it/s, bound:0 nc: 21 ncall:4.8e+03 eff:20.1% logz=15.99+/-0.14 dlogz:24.615>0.1]
971it [00:04, 121.97it/s, bound:0 nc: 31 ncall:5.0e+03 eff:19.6% logz=16.41+/-0.14 dlogz:24.167>0.1]
986it [00:04, 127.79it/s, bound:0 nc:  5 ncall:5.1e+03 eff:19.3% logz=16.87+/-0.14 dlogz:23.670>0.1]
1006it [00:04, 127.58it/s, bound:0 nc: 45 ncall:5.3e+03 eff:19.0% logz=17.43+/-0.14 dlogz:23.053>0.1]
1020it [00:04, 110.97it/s, bound:0 nc: 21 ncall:5.4e+03 eff:18.8% logz=17.81+/-0.14 dlogz:22.637>0.1]
1032it [00:05, 74.67it/s, bound:0 nc: 49 ncall:5.7e+03 eff:18.2% logz=18.15+/-0.14 dlogz:22.270>0.1] 
1042it [00:05, 60.64it/s, bound:0 nc: 19 ncall:5.9e+03 eff:17.8% logz=18.43+/-0.14 dlogz:21.963>0.1]
1050it [00:05, 58.80it/s, bound:0 nc:  3 ncall:5.9e+03 eff:17.7% logz=18.67+/-0.14 dlogz:21.709>0.1]
1057it [00:05, 53.90it/s, bound:0 nc:  1 ncall:6.0e+03 eff:17.5% logz=18.90+/-0.14 dlogz:21.464>0.1]
1064it [00:05, 49.97it/s, bound:0 nc: 27 ncall:6.1e+03 eff:17.4% logz=19.10+/-0.14 dlogz:21.243>0.1]
1070it [00:05, 48.24it/s, bound:0 nc:  6 ncall:6.2e+03 eff:17.3% logz=19.26+/-0.14 dlogz:21.064>0.1]
1076it [00:06, 41.41it/s, bound:0 nc: 31 ncall:6.3e+03 eff:17.1% logz=19.42+/-0.14 dlogz:20.892>0.1]
1081it [00:06, 37.76it/s, bound:0 nc: 15 ncall:6.4e+03 eff:17.0% logz=19.55+/-0.14 dlogz:20.747>0.1]
1088it [00:06, 40.58it/s, bound:0 nc: 21 ncall:6.4e+03 eff:16.9% logz=19.73+/-0.14 dlogz:20.551>0.1]
1093it [00:06, 41.65it/s, bound:0 nc:  4 ncall:6.5e+03 eff:16.8% logz=19.85+/-0.14 dlogz:20.417>0.1]
1098it [00:06, 40.03it/s, bound:0 nc:  1 ncall:6.6e+03 eff:16.7% logz=19.97+/-0.14 dlogz:20.281>0.1]
1103it [00:06, 38.40it/s, bound:0 nc: 14 ncall:6.6e+03 eff:16.6% logz=20.08+/-0.14 dlogz:20.154>0.1]
1107it [00:06, 38.64it/s, bound:0 nc: 18 ncall:6.7e+03 eff:16.6% logz=20.18+/-0.14 dlogz:20.053>0.1]
1111it [00:07, 38.36it/s, bound:0 nc:  1 ncall:6.7e+03 eff:16.5% logz=20.27+/-0.14 dlogz:19.950>0.1]
1119it [00:07, 46.36it/s, bound:0 nc: 15 ncall:6.8e+03 eff:16.5% logz=20.45+/-0.14 dlogz:19.744>0.1]
1124it [00:07, 31.50it/s, bound:0 nc:  5 ncall:7.0e+03 eff:16.2% logz=20.57+/-0.14 dlogz:19.617>0.1]
1130it [00:07, 34.18it/s, bound:0 nc: 25 ncall:7.0e+03 eff:16.1% logz=20.71+/-0.14 dlogz:19.460>0.1]
1138it [00:07, 40.20it/s, bound:0 nc: 24 ncall:7.1e+03 eff:16.0% logz=20.91+/-0.14 dlogz:19.242>0.1]
1143it [00:07, 36.73it/s, bound:0 nc: 44 ncall:7.2e+03 eff:15.9% logz=21.03+/-0.14 dlogz:19.110>0.1]
1147it [00:08, 35.92it/s, bound:0 nc:  7 ncall:7.2e+03 eff:15.8% logz=21.12+/-0.14 dlogz:19.008>0.1]
1151it [00:08, 35.24it/s, bound:0 nc: 45 ncall:7.3e+03 eff:15.7% logz=21.21+/-0.14 dlogz:18.910>0.1]
1155it [00:08, 35.99it/s, bound:0 nc: 26 ncall:7.4e+03 eff:15.7% logz=21.29+/-0.14 dlogz:18.816>0.1]
1159it [00:08, 27.03it/s, bound:0 nc: 22 ncall:7.5e+03 eff:15.5% logz=21.38+/-0.14 dlogz:18.721>0.1]
1163it [00:08, 29.18it/s, bound:0 nc:  9 ncall:7.5e+03 eff:15.5% logz=21.46+/-0.14 dlogz:18.626>0.1]
1167it [00:08, 29.85it/s, bound:0 nc: 13 ncall:7.6e+03 eff:15.4% logz=21.54+/-0.14 dlogz:18.534>0.1]
1171it [00:08, 28.76it/s, bound:0 nc: 32 ncall:7.6e+03 eff:15.4% logz=21.63+/-0.14 dlogz:18.438>0.1]
1175it [00:09, 24.44it/s, bound:0 nc: 28 ncall:7.7e+03 eff:15.2% logz=21.71+/-0.14 dlogz:18.345>0.1]
1179it [00:09, 26.83it/s, bound:0 nc: 13 ncall:7.8e+03 eff:15.2% logz=21.79+/-0.14 dlogz:18.254>0.1]
1182it [00:09, 25.49it/s, bound:0 nc:  4 ncall:7.8e+03 eff:15.1% logz=21.85+/-0.14 dlogz:18.190>0.1]
1187it [00:09, 29.71it/s, bound:0 nc: 46 ncall:7.9e+03 eff:15.1% logz=21.94+/-0.14 dlogz:18.085>0.1]
1191it [00:09, 25.41it/s, bound:0 nc:  4 ncall:8.0e+03 eff:15.0% logz=22.02+/-0.14 dlogz:17.996>0.1]
1194it [00:09, 23.76it/s, bound:0 nc:  3 ncall:8.0e+03 eff:14.8% logz=22.08+/-0.14 dlogz:17.929>0.1]
1199it [00:09, 28.64it/s, bound:0 nc: 11 ncall:8.1e+03 eff:14.8% logz=22.17+/-0.14 dlogz:17.824>0.1]
1203it [00:10, 25.32it/s, bound:0 nc: 17 ncall:8.2e+03 eff:14.7% logz=22.24+/-0.14 dlogz:17.743>0.1]
1206it [00:10, 23.26it/s, bound:0 nc: 26 ncall:8.3e+03 eff:14.6% logz=22.29+/-0.14 dlogz:17.684>0.1]
1209it [00:10, 22.47it/s, bound:0 nc: 27 ncall:8.4e+03 eff:14.5% logz=22.35+/-0.14 dlogz:17.623>0.1]
1212it [00:10, 20.23it/s, bound:0 nc: 32 ncall:8.4e+03 eff:14.4% logz=22.40+/-0.14 dlogz:17.564>0.1]
1216it [00:10, 22.07it/s, bound:0 nc: 31 ncall:8.5e+03 eff:14.3% logz=22.46+/-0.14 dlogz:17.488>0.1]
1219it [00:10, 23.51it/s, bound:0 nc: 15 ncall:8.5e+03 eff:14.3% logz=22.51+/-0.14 dlogz:17.432>0.1]
1222it [00:11, 19.41it/s, bound:0 nc: 87 ncall:8.6e+03 eff:14.1% logz=22.56+/-0.14 dlogz:17.377>0.1]
1226it [00:11, 23.49it/s, bound:0 nc: 17 ncall:8.7e+03 eff:14.1% logz=22.62+/-0.14 dlogz:17.305>0.1]
1229it [00:11, 24.06it/s, bound:0 nc: 27 ncall:8.7e+03 eff:14.1% logz=22.67+/-0.14 dlogz:17.251>0.1]
1232it [00:11, 21.81it/s, bound:0 nc:  7 ncall:8.8e+03 eff:14.0% logz=22.71+/-0.14 dlogz:17.197>0.1]
1235it [00:11, 21.95it/s, bound:0 nc: 14 ncall:8.9e+03 eff:13.9% logz=22.76+/-0.14 dlogz:17.144>0.1]
1238it [00:11, 23.30it/s, bound:0 nc: 11 ncall:8.9e+03 eff:13.9% logz=22.80+/-0.14 dlogz:17.092>0.1]
1241it [00:11, 22.20it/s, bound:0 nc:  1 ncall:8.9e+03 eff:13.9% logz=22.85+/-0.14 dlogz:17.041>0.1]
