
0it [00:00, ?it/s]
1it [00:09,  9.06s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-12769.59+/-0.18 dlogz:inf>0.1]
17it [00:09,  2.59it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.1% logz=-2259.31+/-0.18 dlogz:2333.108>0.1]
40it [00:09,  7.48it/s, bound:0 nc:  1 ncall:4.4e+02 eff:9.1% logz=-665.60+/-0.18 dlogz:714.566>0.1]  
61it [00:09, 13.51it/s, bound:0 nc:  1 ncall:4.6e+02 eff:13.1% logz=-343.70+/-0.18 dlogz:404.606>0.1]
83it [00:09, 21.87it/s, bound:0 nc:  2 ncall:4.9e+02 eff:16.9% logz=-198.59+/-0.18 dlogz:248.484>0.1]
103it [00:09, 31.28it/s, bound:0 nc:  1 ncall:5.1e+02 eff:20.1% logz=-113.36+/-0.17 dlogz:160.840>0.1]
124it [00:09, 43.67it/s, bound:0 nc:  1 ncall:5.4e+02 eff:23.1% logz=-80.90+/-0.18 dlogz:129.250>0.1] 
143it [00:09, 56.26it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.5% logz=-59.59+/-0.15 dlogz:106.176>0.1]
161it [00:09, 69.18it/s, bound:0 nc:  1 ncall:5.9e+02 eff:27.3% logz=-48.53+/-0.15 dlogz:95.147>0.1] 
178it [00:10, 80.09it/s, bound:0 nc:  1 ncall:6.1e+02 eff:29.1% logz=-38.68+/-0.15 dlogz:85.311>0.1]
194it [00:10, 87.09it/s, bound:0 nc:  3 ncall:6.4e+02 eff:30.4% logz=-32.32+/-0.15 dlogz:78.704>0.1]
209it [00:10, 94.48it/s, bound:0 nc:  1 ncall:6.6e+02 eff:31.7% logz=-28.47+/-0.14 dlogz:74.727>0.1]
223it [00:10, 98.93it/s, bound:0 nc:  2 ncall:6.8e+02 eff:32.7% logz=-24.96+/-0.14 dlogz:71.154>0.1]
236it [00:10, 94.39it/s, bound:0 nc:  8 ncall:7.1e+02 eff:33.1% logz=-22.17+/-0.15 dlogz:68.465>0.1]
254it [00:10, 107.17it/s, bound:0 nc:  3 ncall:7.5e+02 eff:34.0% logz=-16.21+/-0.15 dlogz:62.361>0.1]
267it [00:10, 106.36it/s, bound:0 nc:  1 ncall:7.7e+02 eff:34.6% logz=-12.34+/-0.15 dlogz:58.517>0.1]
279it [00:11, 103.72it/s, bound:0 nc:  2 ncall:7.9e+02 eff:35.1% logz=-9.96+/-0.14 dlogz:55.981>0.1] 
293it [00:11, 106.92it/s, bound:0 nc:  8 ncall:8.2e+02 eff:35.6% logz=-8.06+/-0.14 dlogz:54.057>0.1]
305it [00:11, 97.51it/s, bound:0 nc:  3 ncall:8.5e+02 eff:35.8% logz=-6.37+/-0.14 dlogz:52.281>0.1] 
316it [00:11, 88.71it/s, bound:0 nc:  2 ncall:8.8e+02 eff:35.8% logz=-5.07+/-0.14 dlogz:50.982>0.1]
326it [00:11, 89.00it/s, bound:0 nc:  1 ncall:9.1e+02 eff:35.9% logz=-4.06+/-0.13 dlogz:49.909>0.1]
339it [00:11, 94.50it/s, bound:0 nc:  3 ncall:9.3e+02 eff:36.5% logz=-3.06+/-0.13 dlogz:48.858>0.1]
352it [00:11, 97.98it/s, bound:0 nc:  2 ncall:9.5e+02 eff:36.9% logz=-2.21+/-0.13 dlogz:47.963>0.1]
362it [00:11, 92.82it/s, bound:0 nc:  4 ncall:9.8e+02 eff:36.8% logz=-1.42+/-0.13 dlogz:47.179>0.1]
373it [00:12, 91.50it/s, bound:0 nc:  3 ncall:1.0e+03 eff:37.2% logz=-0.44+/-0.13 dlogz:46.174>0.1]
383it [00:12, 87.93it/s, bound:0 nc:  3 ncall:1.0e+03 eff:37.1% logz=0.32+/-0.13 dlogz:45.360>0.1] 
396it [00:12, 91.67it/s, bound:0 nc:  3 ncall:1.1e+03 eff:37.4% logz=1.05+/-0.13 dlogz:44.585>0.1]
406it [00:12, 86.13it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.5% logz=1.61+/-0.13 dlogz:44.000>0.1]
415it [00:12, 79.54it/s, bound:0 nc:  1 ncall:1.1e+03 eff:37.3% logz=2.08+/-0.13 dlogz:43.507>0.1]
424it [00:12, 75.54it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.6% logz=2.54+/-0.12 dlogz:43.018>0.1]
438it [00:12, 86.41it/s, bound:0 nc:  3 ncall:1.2e+03 eff:38.0% logz=3.16+/-0.12 dlogz:42.361>0.1]
