
0it [00:00, ?it/s]
1it [00:04,  4.27s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=4.56+/-0.18 dlogz:inf>0.1]
10it [00:04,  3.13it/s, bound:0 nc:  7 ncall:4.7e+02 eff:2.1% logz=8.34+/-0.14 dlogz:35.896>0.1]
20it [00:04,  7.36it/s, bound:0 nc:  3 ncall:5.4e+02 eff:3.7% logz=9.74+/-0.13 dlogz:34.446>0.1]
27it [00:04, 10.87it/s, bound:0 nc: 30 ncall:6.2e+02 eff:4.3% logz=10.61+/-0.12 dlogz:33.584>0.1]
38it [00:04, 18.42it/s, bound:0 nc:  5 ncall:7.0e+02 eff:5.5% logz=12.09+/-0.12 dlogz:32.028>0.1]
46it [00:04, 23.77it/s, bound:0 nc:  4 ncall:7.9e+02 eff:5.8% logz=12.86+/-0.12 dlogz:31.228>0.1]
54it [00:06, 13.09it/s, bound:2 nc:147 ncall:1.5e+03 eff:3.5% logz=13.51+/-0.12 dlogz:30.534>0.1]
60it [00:07,  9.57it/s, bound:5 nc:141 ncall:2.3e+03 eff:2.6% logz=13.98+/-0.12 dlogz:30.063>0.1]
65it [00:08,  8.17it/s, bound:8 nc:107 ncall:3.1e+03 eff:2.1% logz=14.39+/-0.12 dlogz:29.636>0.1]
73it [00:08,  8.68it/s, bound:10 nc:102 ncall:3.9e+03 eff:1.9% logz=14.90+/-0.11 dlogz:29.089>0.1]
81it [00:09,  8.94it/s, bound:13 nc:101 ncall:4.8e+03 eff:1.7% logz=15.44+/-0.11 dlogz:28.526>0.1]
89it [00:10,  9.15it/s, bound:16 nc:101 ncall:5.6e+03 eff:1.6% logz=15.93+/-0.11 dlogz:28.013>0.1]
97it [00:11,  9.40it/s, bound:18 nc:101 ncall:6.4e+03 eff:1.5% logz=16.38+/-0.11 dlogz:27.547>0.1]
105it [00:12,  9.83it/s, bound:21 nc:101 ncall:7.2e+03 eff:1.5% logz=16.89+/-0.11 dlogz:27.023>0.1]
113it [00:12, 10.24it/s, bound:24 nc:101 ncall:8.0e+03 eff:1.4% logz=17.38+/-0.11 dlogz:26.504>0.1]
121it [00:13, 10.53it/s, bound:26 nc:109 ncall:8.8e+03 eff:1.4% logz=17.82+/-0.11 dlogz:26.047>0.1]
129it [00:14,  9.99it/s, bound:29 nc:101 ncall:9.7e+03 eff:1.3% logz=18.28+/-0.11 dlogz:25.564>0.1]
137it [00:15,  8.34it/s, bound:32 nc:101 ncall:1.0e+04 eff:1.3% logz=18.76+/-0.11 dlogz:25.061>0.1]
144it [00:17,  7.04it/s, bound:34 nc:101 ncall:1.1e+04 eff:1.3% logz=19.13+/-0.11 dlogz:24.667>0.1]
152it [00:18,  6.45it/s, bound:37 nc:101 ncall:1.2e+04 eff:1.3% logz=19.49+/-0.11 dlogz:24.280>0.1]
160it [00:20,  6.16it/s, bound:40 nc:105 ncall:1.3e+04 eff:1.2% logz=19.85+/-0.11 dlogz:23.909>0.1]
168it [00:21,  5.97it/s, bound:42 nc:101 ncall:1.4e+04 eff:1.2% logz=20.18+/-0.11 dlogz:23.549>0.1]
176it [00:22,  5.82it/s, bound:45 nc:104 ncall:1.5e+04 eff:1.2% logz=20.46+/-0.11 dlogz:23.246>0.1]
184it [00:24,  5.57it/s, bound:48 nc:120 ncall:1.6e+04 eff:1.2% logz=20.72+/-0.10 dlogz:22.957>0.1]
192it [00:26,  5.14it/s, bound:51 nc:122 ncall:1.6e+04 eff:1.2% logz=20.97+/-0.10 dlogz:22.688>0.1]
200it [00:27,  5.12it/s, bound:54 nc:121 ncall:1.7e+04 eff:1.1% logz=21.20+/-0.10 dlogz:22.438>0.1]
208it [00:29,  5.17it/s, bound:58 nc:134 ncall:1.8e+04 eff:1.1% logz=21.43+/-0.10 dlogz:22.184>0.1]
216it [00:31,  4.92it/s, bound:61 nc:135 ncall:1.9e+04 eff:1.1% logz=21.68+/-0.10 dlogz:21.922>0.1]
224it [00:32,  4.86it/s, bound:64 nc:114 ncall:2.0e+04 eff:1.1% logz=21.94+/-0.10 dlogz:21.635>0.1]
232it [00:35,  4.41it/s, bound:67 nc:141 ncall:2.1e+04 eff:1.1% logz=22.18+/-0.10 dlogz:21.373>0.1]
240it [00:37,  4.03it/s, bound:71 nc:164 ncall:2.2e+04 eff:1.1% logz=22.40+/-0.10 dlogz:21.133>0.1]
248it [00:39,  3.87it/s, bound:75 nc:139 ncall:2.3e+04 eff:1.1% logz=22.62+/-0.10 dlogz:20.895>0.1]
256it [00:41,  3.88it/s, bound:79 nc:123 ncall:2.5e+04 eff:1.0% logz=22.82+/-0.10 dlogz:20.669>0.1]
264it [00:43,  4.19it/s, bound:83 nc:148 ncall:2.6e+04 eff:1.0% logz=23.01+/-0.10 dlogz:20.458>0.1]
272it [00:46,  3.72it/s, bound:87 nc:178 ncall:2.7e+04 eff:1.0% logz=23.21+/-0.10 dlogz:20.243>0.1]
280it [00:48,  3.50it/s, bound:91 nc:171 ncall:2.8e+04 eff:1.0% logz=23.44+/-0.10 dlogz:19.997>0.1]
287it [00:51,  3.12it/s, bound:94 nc:163 ncall:3.0e+04 eff:1.0% logz=23.64+/-0.10 dlogz:19.776>0.1]
295it [00:53,  3.43it/s, bound:98 nc:175 ncall:3.1e+04 eff:1.0% logz=23.86+/-0.10 dlogz:19.541>0.1]
303it [00:56,  3.12it/s, bound:102 nc:195 ncall:3.2e+04 eff:0.9% logz=24.05+/-0.10 dlogz:19.321>0.1]
310it [00:56,  4.24it/s, bound:106 nc:186 ncall:3.4e+04 eff:0.9% logz=24.23+/-0.10 dlogz:19.132>0.1]
313it [00:59,  2.76it/s, bound:107 nc:212 ncall:3.4e+04 eff:0.9% logz=24.31+/-0.10 dlogz:19.041>0.1]
319it [01:02,  2.56it/s, bound:110 nc:178 ncall:3.6e+04 eff:0.9% logz=24.47+/-0.10 dlogz:18.866>0.1]
327it [01:05,  2.56it/s, bound:114 nc:214 ncall:3.7e+04 eff:0.9% logz=24.67+/-0.10 dlogz:18.645>0.1]
335it [01:09,  2.46it/s, bound:118 nc:224 ncall:3.9e+04 eff:0.9% logz=24.85+/-0.10 dlogz:18.441>0.1]
343it [01:12,  2.45it/s, bound:122 nc:259 ncall:4.1e+04 eff:0.8% logz=25.03+/-0.10 dlogz:18.246>0.1]
351it [01:15,  2.42it/s, bound:130 nc:251 ncall:4.3e+04 eff:0.8% logz=25.21+/-0.10 dlogz:18.049>0.1]
359it [01:20,  2.26it/s, bound:135 nc:227 ncall:4.4e+04 eff:0.8% logz=25.40+/-0.10 dlogz:17.840>0.1]
365it [01:20,  2.97it/s, bound:140 nc:271 ncall:4.6e+04 eff:0.8% logz=25.55+/-0.10 dlogz:17.670>0.1]
368it [01:23,  2.26it/s, bound:142 nc:256 ncall:4.7e+04 eff:0.8% logz=25.63+/-0.10 dlogz:17.585>0.1]
375it [01:27,  1.95it/s, bound:148 nc:258 ncall:4.9e+04 eff:0.8% logz=25.80+/-0.10 dlogz:17.392>0.1]
383it [01:31,  1.96it/s, bound:156 nc:241 ncall:5.1e+04 eff:0.8% logz=25.99+/-0.10 dlogz:17.187>0.1]
391it [01:36,  1.87it/s, bound:162 nc:268 ncall:5.3e+04 eff:0.7% logz=26.17+/-0.10 dlogz:16.984>0.1]
397it [01:36,  2.52it/s, bound:168 nc:255 ncall:5.4e+04 eff:0.7% logz=26.32+/-0.10 dlogz:16.821>0.1]
400it [01:40,  1.80it/s, bound:171 nc:286 ncall:5.5e+04 eff:0.7% logz=26.40+/-0.10 dlogz:16.737>0.1]
407it [01:45,  1.66it/s, bound:178 nc:268 ncall:5.7e+04 eff:0.7% logz=26.57+/-0.10 dlogz:16.546>0.1]
412it [01:45,  2.22it/s, bound:184 nc:520 ncall:5.8e+04 eff:0.7% logz=26.68+/-0.10 dlogz:16.420>0.1]
415it [01:50,  1.51it/s, bound:187 nc:279 ncall:5.9e+04 eff:0.7% logz=26.75+/-0.10 dlogz:16.347>0.1]
422it [01:55,  1.44it/s, bound:194 nc:308 ncall:6.1e+04 eff:0.7% logz=26.90+/-0.10 dlogz:16.179>0.1]
427it [01:55,  1.97it/s, bound:199 nc:305 ncall:6.3e+04 eff:0.7% logz=27.01+/-0.10 dlogz:16.058>0.1]
430it [02:00,  1.46it/s, bound:202 nc:292 ncall:6.4e+04 eff:0.7% logz=27.07+/-0.10 dlogz:15.987>0.1]
435it [02:00,  2.10it/s, bound:207 nc:288 ncall:6.5e+04 eff:0.7% logz=27.18+/-0.10 dlogz:15.867>0.1]
