
0it [00:00, ?it/s]
1it [00:53, 53.37s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.2% logz=-254.04+/-0.18 dlogz:inf>0.1]
3it [00:53, 13.89s/it, bound:0 nc: 13 ncall:4.3e+02 eff:0.7% logz=-226.54+/-0.18 dlogz:289.899>0.1]
7it [00:53,  4.48s/it, bound:0 nc:  6 ncall:4.5e+02 eff:1.6% logz=-212.71+/-0.17 dlogz:269.321>0.1]
13it [00:53,  1.84s/it, bound:0 nc: 14 ncall:4.8e+02 eff:2.7% logz=-147.88+/-0.17 dlogz:203.823>0.1]
19it [00:54,  1.01s/it, bound:0 nc: 13 ncall:5.2e+02 eff:3.7% logz=-122.86+/-0.17 dlogz:178.641>0.1]
24it [00:54,  1.50it/s, bound:0 nc: 16 ncall:5.5e+02 eff:4.4% logz=-111.72+/-0.17 dlogz:167.889>0.1]
29it [00:54,  2.21it/s, bound:0 nc:  4 ncall:5.7e+02 eff:5.1% logz=-96.47+/-0.17 dlogz:152.112>0.1] 
33it [00:54,  2.96it/s, bound:0 nc:  5 ncall:6.0e+02 eff:5.5% logz=-87.19+/-0.17 dlogz:143.209>0.1]
36it [00:54,  3.63it/s, bound:0 nc:  2 ncall:6.3e+02 eff:5.7% logz=-84.31+/-0.16 dlogz:139.668>0.1]
39it [00:54,  4.62it/s, bound:0 nc:  3 ncall:6.4e+02 eff:6.0% logz=-81.17+/-0.16 dlogz:136.204>0.1]
42it [00:54,  5.66it/s, bound:0 nc:  3 ncall:6.8e+02 eff:6.2% logz=-78.07+/-0.16 dlogz:134.456>0.1]
45it [00:55,  6.67it/s, bound:0 nc:  5 ncall:7.1e+02 eff:6.3% logz=-74.35+/-0.16 dlogz:130.406>0.1]
48it [00:55,  8.51it/s, bound:0 nc:  7 ncall:7.3e+02 eff:6.6% logz=-71.47+/-0.16 dlogz:127.353>0.1]
56it [00:55, 15.05it/s, bound:0 nc:  5 ncall:7.6e+02 eff:7.4% logz=-67.67+/-0.15 dlogz:123.145>0.1]
63it [00:55, 20.54it/s, bound:0 nc:  4 ncall:7.8e+02 eff:8.1% logz=-62.64+/-0.15 dlogz:118.246>0.1]
69it [00:55, 23.15it/s, bound:0 nc: 15 ncall:8.1e+02 eff:8.5% logz=-60.40+/-0.15 dlogz:115.977>0.1]
73it [01:06,  1.57it/s, bound:2 nc:167 ncall:1.3e+03 eff:5.5% logz=-58.43+/-0.15 dlogz:113.843>0.1]
76it [01:06,  1.93it/s, bound:4 nc:176 ncall:2.0e+03 eff:3.8% logz=-56.24+/-0.16 dlogz:112.147>0.1]
80it [01:13,  1.17it/s, bound:6 nc:171 ncall:2.6e+03 eff:3.1% logz=-54.16+/-0.15 dlogz:109.675>0.1]
